PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
i_ajuntament_1_2,illumination,940,851,231.42,0.2512,0.8936,0.9468,0.9734,1,1,1,0.7488,0.9163,0.9498,0.9749
i_ajuntament_1_3,illumination,602,391,3.91,1.1143,0.6379,0.7326,0.7674,1,1,1,0.0000,0.6286,0.7771,0.8886
i_ajuntament_1_4,illumination,453,188,3.62,0.8414,0.4018,0.4724,0.5276,1,1,1,0.1586,0.7195,0.8317,0.9159
i_ajuntament_1_5,illumination,443,194,3.20,1.2616,0.4266,0.4944,0.5395,1,1,1,0.0000,0.5795,0.7477,0.8738
i_ajuntament_1_6,illumination,451,188,3.24,1.1954,0.4102,0.4701,0.5277,1,1,1,0.0000,0.6015,0.7609,0.8805
i_autannes_1_2,illumination,995,912,7.81,0.2799,0.9166,0.9528,0.9628,1,1,1,0.7201,0.9067,0.9440,0.9720
i_autannes_1_3,illumination,868,720,3.67,0.4197,0.8249,0.8813,0.9067,1,1,1,0.5803,0.8601,0.9161,0.9580
i_autannes_1_4,illumination,861,490,4.00,1.3711,0.5436,0.6725,0.7236,1,1,1,0.0000,0.5430,0.7258,0.8629
i_autannes_1_5,illumination,850,489,5.45,0.9777,0.5671,0.6529,0.7082,1,1,1,0.0223,0.6741,0.8045,0.9022
i_autannes_1_6,illumination,1057,810,4.35,0.9317,0.7597,0.8458,0.8950,1,1,1,0.0683,0.6894,0.8137,0.9068
i_bologna_1_2,illumination,582,538,6.72,0.0000,0.9261,0.9759,0.9811,1,1,1,1.0000,1.0000,1.0000,1.0000
i_bologna_1_3,illumination,550,477,2.94,0.7368,0.8673,0.9182,0.9327,1,1,1,0.2632,0.7544,0.8526,0.9263
i_bologna_1_4,illumination,529,443,2.93,1.4256,0.8318,0.8904,0.9130,1,1,1,0.0000,0.5248,0.7149,0.8574
i_bologna_1_5,illumination,536,443,3.15,0.7280,0.8190,0.8750,0.9104,1,1,1,0.2720,0.7573,0.8544,0.9272
i_bologna_1_6,illumination,519,426,2.97,2.0568,0.8112,0.8632,0.8805,1,1,1,0.0000,0.3144,0.5886,0.7943
i_books_1_2,illumination,501,462,3.07,0.2818,0.9182,0.9401,0.9521,1,1,1,0.7182,0.9061,0.9436,0.9718
i_books_1_3,illumination,695,599,3.32,0.3594,0.8647,0.9050,0.9266,1,1,1,0.6406,0.8802,0.9281,0.9641
i_books_1_4,illumination,724,658,3.31,0.0000,0.9144,0.9448,0.9641,1,1,1,1.0000,1.0000,1.0000,1.0000
i_books_1_5,illumination,745,669,3.24,0.0000,0.8993,0.9302,0.9490,1,1,1,1.0000,1.0000,1.0000,1.0000
i_books_1_6,illumination,644,587,3.04,0.4166,0.9068,0.9317,0.9441,1,1,1,0.5834,0.8611,0.9167,0.9583
i_boutique_1_2,illumination,1194,1079,3.75,0.2993,0.9020,0.9464,0.9623,1,1,1,0.7007,0.9002,0.9401,0.9701
i_boutique_1_3,illumination,1210,1021,4.21,0.2919,0.8397,0.9099,0.9289,1,1,1,0.7081,0.9027,0.9416,0.9708
i_boutique_1_4,illumination,1188,1021,3.98,0.3832,0.8502,0.9200,0.9419,1,1,1,0.6168,0.8723,0.9234,0.9617
i_boutique_1_5,illumination,943,545,4.84,0.7401,0.5652,0.6490,0.6988,1,1,1,0.2599,0.7533,0.8520,0.9260
i_boutique_1_6,illumination,882,467,3.79,0.9201,0.5204,0.6077,0.6576,1,1,1,0.0799,0.6933,0.8160,0.9080
i_bridger_1_2,illumination,1400,1170,7.20,0.5364,0.8143,0.9171,0.9607,1,1,1,0.4636,0.8212,0.8927,0.9464
i_bridger_1_3,illumination,1245,977,4.23,0.4664,0.7703,0.8602,0.9052,1,1,1,0.5336,0.8445,0.9067,0.9534
i_bridger_1_4,illumination,1126,902,3.65,0.5038,0.7922,0.8801,0.9121,1,1,1,0.4962,0.8321,0.8992,0.9496
i_bridger_1_5,illumination,885,688,3.50,0.4526,0.7774,0.8757,0.9232,1,1,1,0.5474,0.8491,0.9095,0.9547
i_bridger_1_6,illumination,192,87,3.50,1.8979,0.4323,0.5260,0.5677,1,1,1,0.0000,0.3674,0.6204,0.8102
i_brooklyn_1_2,illumination,1206,966,4.53,0.5853,0.8010,0.8897,0.9262,1,1,1,0.4147,0.8049,0.8829,0.9415
i_brooklyn_1_3,illumination,1295,1143,4.87,1.2036,0.8602,0.9452,0.9753,1,1,1,0.0000,0.5988,0.7593,0.8796
