PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
i_ajuntament_1_2,illumination,870,810,253.17,0.2548,0.9287,0.9609,0.9805,1,1,1,0.7452,0.9151,0.9490,0.9745
i_ajuntament_1_3,illumination,670,521,5.93,1.2749,0.7448,0.8731,0.9164,1,1,1,0.0000,0.5750,0.7450,0.8725
i_ajuntament_1_4,illumination,458,249,5.62,0.9766,0.5284,0.6550,0.7162,1,1,1,0.0234,0.6745,0.8047,0.9023
i_ajuntament_1_5,illumination,482,258,5.46,1.0618,0.5270,0.6369,0.7033,1,1,1,0.0000,0.6461,0.7876,0.8938
i_ajuntament_1_6,illumination,477,262,5.79,1.0301,0.5472,0.6792,0.7568,1,1,1,0.0000,0.6566,0.7940,0.8970
i_autannes_1_2,illumination,749,676,13.31,0.5568,0.8972,0.9399,0.9599,1,1,1,0.4432,0.8144,0.8886,0.9443
i_autannes_1_3,illumination,677,559,6.65,0.5636,0.8227,0.8936,0.9394,1,1,1,0.4364,0.8121,0.8873,0.9436
i_autannes_1_4,illumination,831,600,7.31,1.0298,0.7160,0.8351,0.8953,1,1,1,0.0000,0.6567,0.7940,0.8970
i_autannes_1_5,illumination,823,617,7.24,1.1260,0.7363,0.8226,0.8870,1,1,1,0.0000,0.6247,0.7748,0.8874
i_autannes_1_6,illumination,814,674,5.91,0.9709,0.8256,0.9005,0.9349,1,1,1,0.0291,0.6764,0.8058,0.9029
i_bologna_1_2,illumination,845,791,11.81,0.2580,0.9349,0.9799,0.9905,1,1,1,0.7420,0.9140,0.9484,0.9742
i_bologna_1_3,illumination,791,708,5.21,0.3712,0.8925,0.9520,0.9709,1,1,1,0.6288,0.8763,0.9258,0.9629
i_bologna_1_4,illumination,801,695,5.34,0.8651,0.8677,0.9413,0.9638,1,1,1,0.1349,0.7116,0.8270,0.9135
i_bologna_1_5,illumination,814,710,5.50,1.1369,0.8686,0.9287,0.9558,1,1,1,0.0000,0.6210,0.7726,0.8863
i_bologna_1_6,illumination,804,688,5.43,1.3336,0.8458,0.9067,0.9453,1,1,1,0.0000,0.5555,0.7333,0.8666
i_books_1_2,illumination,608,573,5.03,0.0000,0.9474,0.9655,0.9720,1,1,1,1.0000,1.0000,1.0000,1.0000
i_books_1_3,illumination,715,674,5.52,0.2466,0.9413,0.9538,0.9692,1,1,1,0.7534,0.9178,0.9507,0.9753
