PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
i_ajuntament_1_2,illumination,942,862,251.89,0.3034,0.9087,0.9522,0.9756,1,1,1,0.6966,0.8989,0.9393,0.9697
i_ajuntament_1_3,illumination,752,581,6.08,1.1250,0.7527,0.8590,0.9016,1,1,1,0.0000,0.6250,0.7750,0.8875
i_ajuntament_1_4,illumination,519,273,5.78,0.9291,0.5164,0.6570,0.7341,1,1,1,0.0709,0.6903,0.8142,0.9071
i_ajuntament_1_5,illumination,522,271,5.53,0.9567,0.5172,0.6513,0.7261,1,1,1,0.0433,0.6811,0.8087,0.9043
i_ajuntament_1_6,illumination,540,289,5.89,1.5314,0.5185,0.6796,0.7685,1,1,1,0.0000,0.4895,0.6937,0.8469
i_autannes_1_2,illumination,984,870,13.41,0.4358,0.8841,0.9360,0.9624,1,1,1,0.5642,0.8547,0.9128,0.9564
i_autannes_1_3,illumination,907,760,7.24,0.3394,0.8368,0.9063,0.9338,1,1,1,0.6606,0.8869,0.9321,0.9661
i_autannes_1_4,illumination,1000,735,7.58,1.2868,0.7250,0.8310,0.8880,1,1,1,0.0000,0.5711,0.7426,0.8713
i_autannes_1_5,illumination,979,738,7.46,1.1820,0.7508,0.8417,0.8907,1,1,1,0.0000,0.6060,0.7636,0.8818
i_autannes_1_6,illumination,980,833,6.31,0.8593,0.8429,0.9143,0.9429,1,1,1,0.1407,0.7136,0.8281,0.9141
i_bologna_1_2,illumination,719,671,11.10,0.3470,0.9360,0.9666,0.9805,1,1,1,0.6530,0.8843,0.9306,0.9653
i_bologna_1_3,illumination,672,595,4.65,0.0000,0.8869,0.9360,0.9554,1,1,1,1.0000,1.0000,1.0000,1.0000
i_bologna_1_4,illumination,692,614,4.81,0.8009,0.8887,0.9292,0.9538,1,1,1,0.1991,0.7330,0.8398,0.9199
i_bologna_1_5,illumination,709,638,4.98,0.9047,0.8956,0.9394,0.9563,1,1,1,0.0953,0.6984,0.8191,0.9095
i_bologna_1_6,illumination,700,611,4.87,1.3957,0.8714,0.9243,0.9543,1,1,1,0.0000,0.5348,0.7209,0.8604
i_books_1_2,illumination,600,569,4.81,0.0000,0.9500,0.9683,0.9733,1,1,1,1.0000,1.0000,1.0000,1.0000
i_books_1_3,illumination,784,722,5.23,0.3262,0.9209,0.9439,0.9566,1,1,1,0.6738,0.8913,0.9348,0.9674
i_books_1_4,illumination,786,735,5.18,0.0000,0.9364,0.9618,0.9733,1,1,1,1.0000,1.0000,1.0000,1.0000
i_books_1_5,illumination,782,730,5.30,0.0000,0.9348,0.9540,0.9642,1,1,1,1.0000,1.0000,1.0000,1.0000
i_books_1_6,illumination,669,625,4.98,0.0000,0.9342,0.9432,0.9537,1,1,1,1.0000,1.0000,1.0000,1.0000
i_boutique_1_2,illumination,1289,1184,7.63,0.2298,0.9131,0.9542,0.9643,1,1,1,0.7702,0.9234,0.9540,0.9770
i_boutique_1_3,illumination,1301,1143,8.90,0.3946,0.8663,0.9308,0.9608,1,1,1,0.6054,0.8685,0.9211,0.9605
i_boutique_1_4,illumination,1267,1100,8.39,0.3544,0.8548,0.9171,0.9440,1,1,1,0.6456,0.8819,0.9291,0.9646
i_boutique_1_5,illumination,1092,770,7.91,0.5688,0.6969,0.7995,0.8535,1,1,1,0.4312,0.8104,0.8862,0.9431
i_boutique_1_6,illumination,1049,749,8.14,0.5470,0.7054,0.8017,0.8475,1,1,1,0.4530,0.8177,0.8906,0.9453
i_bridger_1_2,illumination,1358,1190,14.65,0.5647,0.8652,0.9359,0.9705,1,1,1,0.4353,0.8118,0.8871,0.9435
i_bridger_1_3,illumination,1302,1052,7.17,0.0000,0.8149,0.9078,0.9386,1,1,1,1.0000,1.0000,1.0000,1.0000
i_bridger_1_4,illumination,1197,1039,6.88,0.2987,0.8672,0.9315,0.9683,1,1,1,0.7013,0.9004,0.9403,0.9701
i_bridger_1_5,illumination,1037,853,6.48,0.6130,0.8206,0.9132,0.9470,1,1,1,0.3870,0.7957,0.8774,0.9387
i_bridger_1_6,illumination,532,342,5.54,1.1916,0.6410,0.7575,0.8383,1,1,1,0.0000,0.6028,0.7617,0.8808
i_brooklyn_1_2,illumination,1546,1324,8.88,0.5551,0.8467,0.9288,0.9592,1,1,1,0.4449,0.8150,0.8890,0.9445
i_brooklyn_1_3,illumination,1627,1475,9.28,1.2819,0.8857,0.9564,0.9785,1,1,1,0.0000,0.5727,0.7436,0.8718
i_brooklyn_1_4,illumination,1395,1112,8.36,1.0433,0.7670,0.8810,0.9219,1,1,1,0.0000,0.6522,0.7913,0.8957
i_brooklyn_1_5,illumination,1606,1443,8.21,1.5723,0.8636,0.9427,0.9751,1,1,1,0.0000,0.4759,0.6855,0.8428
i_brooklyn_1_6,illumination,1520,1288,8.10,1.4870,0.8105,0.9197,0.9612,1,1,1,0.0000,0.5043,0.7026,0.8513
i_castle_1_2,illumination,1420,1060,8.28,0.7156,0.7387,0.8296,0.8803,1,1,1,0.2844,0.7615,0.8569,0.9284
i_castle_1_3,illumination,1526,1300,7.82,0.2313,0.8558,0.9253,0.9456,1,1,1,0.7687,0.9229,0.9537,0.9769
i_castle_1_4,illumination,1362,1180,7.58,0.8942,0.8421,0.9156,0.9435,1,1,1,0.1058,0.7019,0.8212,0.9106
i_castle_1_5,illumination,1154,857,7.58,0.5675,0.7314,0.8328,0.8804,1,1,1,0.4325,0.8108,0.8865,0.9432
i_castle_1_6,illumination,1167,823,7.70,0.3674,0.6992,0.7952,0.8458,1,1,1,0.6326,0.8775,0.9265,0.9633
i_chestnuts_1_2,illumination,1136,1021,6.52,0.3796,0.8979,0.9375,0.9718,1,1,1,0.6204,0.8735,0.9241,0.9620
i_chestnuts_1_3,illumination,1114,1014,7.29,0.2588,0.9084,0.9417,0.9704,1,1,1,0.7412,0.9137,0.9482,0.9741
i_chestnuts_1_4,illumination,1101,977,7.24,0.0000,0.8892,0.9319,0.9637,1,1,1,1.0000,1.0000,1.0000,1.0000
i_chestnuts_1_5,illumination,1045,909,6.50,0.0000,0.8727,0.9187,0.9522,1,1,1,1.0000,1.0000,1.0000,1.0000
i_chestnuts_1_6,illumination,963,817,6.52,0.3404,0.8453,0.9013,0.9367,1,1,1,0.6596,0.8865,0.9319,0.9660
i_crownday_1_2,illumination,1091,834,7.27,0.8613,0.7562,0.8598,0.9148,1,1,1,0.1387,0.7129,0.8277,0.9139
i_crownday_1_3,illumination,1207,982,10.85,0.8473,0.8094,0.8931,0.9387,1,1,1,0.1527,0.7176,0.8305,0.9153
i_crownday_1_4,illumination,1234,1055,7.05,0.5920,0.8525,0.9206,0.9522,1,1,1,0.4080,0.8027,0.8816,0.9408
i_crownday_1_5,illumination,1313,1160,7.27,0.0000,0.8850,0.9398,0.9703,1,1,1,1.0000,1.0000,1.0000,1.0000
i_crownday_1_6,illumination,1075,801,7.28,1.0869,0.7395,0.8540,0.9135,1,1,1,0.0000,0.6377,0.7826,0.8913
i_dome_1_2,illumination,1405,1328,7.74,0.1885,0.9431,0.9658,0.9744,1,1,1,0.8115,0.9372,0.9623,0.9811
i_dome_1_3,illumination,858,624,7.80,0.7585,0.7238,0.8042,0.8450,1,1,1,0.2415,0.7472,0.8483,0.9241
i_dome_1_4,illumination,864,623,7.35,1.6764,0.7211,0.8009,0.8380,1,1,1,0.0000,0.4412,0.6647,0.8324
i_dome_1_5,illumination,871,641,6.74,1.1749,0.7371,0.8163,0.8530,1,1,1,0.0000,0.6084,0.7650,0.8825
i_dome_1_6,illumination,1200,1002,7.17,0.3763,0.8383,0.8908,0.9133,1,1,1,0.6237,0.8746,0.9247,0.9624
i_duda_1_2,illumination,705,691,4.51,0.2659,0.9816,0.9915,0.9972,1,1,1,0.7341,0.9114,0.9468,0.9734
