PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
i_ajuntament_1_2,illumination,886,816,253.49,0.2889,0.9142,0.9436,0.9774,1,1,1,0.7111,0.9037,0.9422,0.9711
i_ajuntament_1_3,illumination,708,536,5.59,1.0253,0.7331,0.8545,0.9068,1,1,1,0.0000,0.6582,0.7949,0.8975
i_ajuntament_1_4,illumination,524,282,3.62,1.1091,0.5115,0.6336,0.7252,1,1,1,0.0000,0.6303,0.7782,0.8891
i_ajuntament_1_5,illumination,537,272,3.75,1.0912,0.4972,0.6145,0.7114,1,1,1,0.0000,0.6363,0.7818,0.8909
i_ajuntament_1_6,illumination,555,288,3.83,1.2512,0.5009,0.6180,0.7153,1,1,1,0.0000,0.5829,0.7498,0.8749
i_autannes_1_2,illumination,1001,914,10.12,0.3493,0.9101,0.9560,0.9720,1,1,1,0.6507,0.8836,0.9301,0.9651
i_autannes_1_3,illumination,925,788,4.51,0.3307,0.8508,0.9103,0.9416,1,1,1,0.6693,0.8898,0.9339,0.9669
i_autannes_1_4,illumination,1034,688,5.02,0.9987,0.6538,0.7853,0.8482,1,1,1,0.0013,0.6671,0.8003,0.9001
i_autannes_1_5,illumination,1013,707,5.52,0.9392,0.6861,0.7966,0.8421,1,1,1,0.0608,0.6869,0.8122,0.9061
i_autannes_1_6,illumination,1082,869,4.14,0.4878,0.8013,0.8983,0.9344,1,1,1,0.5122,0.8374,0.9024,0.9512
i_bologna_1_2,illumination,589,544,9.21,0.2300,0.9287,0.9626,0.9779,1,1,1,0.7700,0.9233,0.9540,0.9770
i_bologna_1_3,illumination,569,515,3.13,1.0942,0.9104,0.9508,0.9596,1,1,1,0.0000,0.6353,0.7812,0.8906
i_bologna_1_4,illumination,580,513,3.19,0.8039,0.8810,0.9259,0.9431,1,1,1,0.1961,0.7320,0.8392,0.9196
i_bologna_1_5,illumination,585,519,3.31,1.3005,0.8872,0.9265,0.9556,1,1,1,0.0000,0.5665,0.7399,0.8699
i_bologna_1_6,illumination,574,503,3.37,1.2417,0.8676,0.9251,0.9477,1,1,1,0.0000,0.5861,0.7517,0.8758
i_books_1_2,illumination,567,517,3.36,0.0000,0.9136,0.9330,0.9506,1,1,1,1.0000,1.0000,1.0000,1.0000
i_books_1_3,illumination,730,674,3.48,0.2530,0.9260,0.9452,0.9548,1,1,1,0.7470,0.9157,0.9494,0.9747
i_books_1_4,illumination,766,701,3.33,0.0000,0.9191,0.9517,0.9700,1,1,1,1.0000,1.0000,1.0000,1.0000
i_books_1_5,illumination,741,692,3.51,0.3485,0.9271,0.9447,0.9568,1,1,1,0.6515,0.8838,0.9303,0.9651
i_books_1_6,illumination,627,571,3.25,0.0000,0.9107,0.9346,0.9506,1,1,1,1.0000,1.0000,1.0000,1.0000
i_boutique_1_2,illumination,1266,1130,4.02,0.3708,0.8918,0.9423,0.9605,1,1,1,0.6292,0.8764,0.9258,0.9629
i_boutique_1_3,illumination,1328,1133,5.22,0.2874,0.8456,0.9089,0.9420,1,1,1,0.7126,0.9042,0.9425,0.9713
i_boutique_1_4,illumination,1303,1110,5.44,0.3428,0.8442,0.9133,0.9401,1,1,1,0.6572,0.8857,0.9314,0.9657
i_boutique_1_5,illumination,1005,644,4.21,0.8560,0.6289,0.7373,0.7910,1,1,1,0.1440,0.7147,0.8288,0.9144
i_boutique_1_6,illumination,972,626,4.08,0.4584,0.6337,0.7243,0.7788,1,1,1,0.5416,0.8472,0.9083,0.9542
i_bridger_1_2,illumination,1435,1220,10.04,0.4067,0.8300,0.9233,0.9700,1,1,1,0.5933,0.8644,0.9187,0.9593
