PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
i_ajuntament_1_2,illumination,1759,1759,254.32,0.2875,1.0000,1.0000,1.0000,1,1,1,0.7125,0.9042,0.9425,0.9712
i_ajuntament_1_3,illumination,1823,1814,11.11,0.7539,0.9874,0.9984,0.9984,1,1,1,0.2461,0.7487,0.8492,0.9246
i_ajuntament_1_4,illumination,1533,1470,10.60,0.8265,0.9419,0.9706,0.9791,1,1,1,0.1735,0.7245,0.8347,0.9173
i_ajuntament_1_5,illumination,1565,1492,10.41,1.0953,0.9297,0.9591,0.9700,1,1,1,0.0000,0.6349,0.7809,0.8905
i_ajuntament_1_6,illumination,1657,1611,9.90,0.7253,0.9499,0.9813,0.9867,1,1,1,0.2747,0.7582,0.8549,0.9275
i_autannes_1_2,illumination,1622,1621,17.05,0.1241,0.9994,0.9994,1.0000,1,1,1,0.8759,0.9586,0.9752,0.9876
i_autannes_1_3,illumination,1611,1609,9.70,0.0535,0.9981,1.0000,1.0000,1,1,1,0.9465,0.9822,0.9893,0.9947
i_autannes_1_4,illumination,1371,1339,9.36,0.8625,0.9752,0.9832,0.9891,1,1,1,0.1375,0.7125,0.8275,0.9138
i_autannes_1_5,illumination,1323,1262,8.71,0.5575,0.9554,0.9690,0.9751,1,1,1,0.4425,0.8142,0.8885,0.9442
i_autannes_1_6,illumination,1529,1485,9.06,0.2256,0.9712,0.9778,0.9797,1,1,1,0.7744,0.9248,0.9549,0.9774
i_bologna_1_2,illumination,1023,1023,8.49,0.2557,1.0000,1.0000,1.0000,1,1,1,0.7443,0.9148,0.9489,0.9744
i_bologna_1_3,illumination,1017,1017,8.63,0.1630,1.0000,1.0000,1.0000,1,1,1,0.8370,0.9457,0.9674,0.9837
i_bologna_1_4,illumination,1012,1012,8.59,0.1877,1.0000,1.0000,1.0000,1,1,1,0.8123,0.9374,0.9625,0.9812
i_bologna_1_5,illumination,1011,1009,8.62,0.2570,0.9980,1.0000,1.0000,1,1,1,0.7430,0.9143,0.9486,0.9743
i_bologna_1_6,illumination,1011,1009,8.61,0.2549,0.9980,0.9990,0.9990,1,1,1,0.7451,0.9150,0.9490,0.9745
i_books_1_2,illumination,1858,1854,10.28,0.0581,0.9973,0.9989,0.9989,1,1,1,0.9419,0.9806,0.9884,0.9942
i_books_1_3,illumination,1862,1856,10.42,0.0707,0.9968,0.9973,0.9973,1,1,1,0.9293,0.9764,0.9859,0.9929
i_books_1_4,illumination,1852,1850,10.41,0.1848,0.9989,0.9995,1.0000,1,1,1,0.8152,0.9384,0.9630,0.9815
i_books_1_5,illumination,1858,1857,9.70,0.0920,0.9995,0.9995,0.9995,1,1,1,0.9080,0.9693,0.9816,0.9908
i_books_1_6,illumination,1836,1832,9.55,0.2092,0.9978,0.9989,0.9995,1,1,1,0.7908,0.9303,0.9582,0.9791
i_boutique_1_2,illumination,1803,1803,9.43,0.2131,1.0000,1.0000,1.0000,1,1,1,0.7869,0.9290,0.9574,0.9787
i_boutique_1_3,illumination,1801,1801,9.39,0.1673,1.0000,1.0000,1.0000,1,1,1,0.8327,0.9442,0.9665,0.9833
i_boutique_1_4,illumination,1814,1814,9.54,0.2349,1.0000,1.0000,1.0000,1,1,1,0.7651,0.9217,0.9530,0.9765
i_boutique_1_5,illumination,1817,1814,9.60,0.2721,0.9978,0.9994,0.9994,1,1,1,0.7279,0.9093,0.9456,0.9728
i_boutique_1_6,illumination,1817,1814,9.62,0.4115,0.9983,0.9994,0.9994,1,1,1,0.5885,0.8628,0.9177,0.9589
i_bridger_1_2,illumination,1577,1575,16.17,0.3060,0.9994,1.0000,1.0000,1,1,1,0.6940,0.8980,0.9388,0.9694
i_bridger_1_3,illumination,1544,1526,7.94,0.2506,0.9870,0.9942,0.9974,1,1,1,0.7494,0.9165,0.9499,0.9749
i_bridger_1_4,illumination,1554,1553,7.54,0.1965,0.9987,0.9994,0.9994,1,1,1,0.8035,0.9345,0.9607,0.9803
i_bridger_1_5,illumination,1553,1544,7.13,0.2451,0.9942,0.9948,0.9974,1,1,1,0.7549,0.9183,0.9510,0.9755
i_bridger_1_6,illumination,1228,1174,6.93,0.2741,0.9544,0.9764,0.9853,1,1,1,0.7259,0.9086,0.9452,0.9726
i_brooklyn_1_2,illumination,1760,1712,8.45,0.2831,0.9739,0.9784,0.9847,1,1,1,0.7169,0.9056,0.9434,0.9717
i_brooklyn_1_3,illumination,1807,1780,8.40,1.1526,0.9790,0.9928,0.9961,1,1,1,0.0000,0.6158,0.7695,0.8847
i_brooklyn_1_4,illumination,1737,1713,8.43,0.9464,0.9873,0.9948,0.9960,1,1,1,0.0536,0.6845,0.8107,0.9054
i_brooklyn_1_5,illumination,1740,1693,8.39,1.3082,0.9782,0.9908,0.9931,1,1,1,0.0000,0.5639,0.7384,0.8692
i_brooklyn_1_6,illumination,1763,1708,8.36,1.1862,0.9665,0.9813,0.9887,1,1,1,0.0000,0.6046,0.7628,0.8814
i_castle_1_2,illumination,1421,1403,9.59,0.6498,0.9852,0.9909,0.9951,1,1,1,0.3502,0.7834,0.8700,0.9350
i_castle_1_3,illumination,1446,1439,10.10,0.4834,0.9952,0.9972,0.9972,1,1,1,0.5166,0.8389,0.9033,0.9517
i_castle_1_4,illumination,1420,1413,10.21,0.8762,0.9944,0.9965,0.9965,1,1,1,0.1238,0.7079,0.8248,0.9124
i_castle_1_5,illumination,1360,1339,9.83,0.6134,0.9846,0.9882,0.9949,1,1,1,0.3866,0.7955,0.8773,0.9387
i_castle_1_6,illumination,1350,1340,10.03,0.5249,0.9919,0.9941,0.9956,1,1,1,0.4751,0.8250,0.8950,0.9475
i_chestnuts_1_2,illumination,1869,1865,9.44,0.1517,0.9979,0.9995,0.9995,1,1,1,0.8483,0.9494,0.9697,0.9848
i_chestnuts_1_3,illumination,1884,1877,9.43,0.0897,0.9963,0.9973,0.9973,1,1,1,0.9103,0.9701,0.9821,0.9910
i_chestnuts_1_4,illumination,1868,1857,9.60,0.1642,0.9941,0.9989,0.9995,1,1,1,0.8358,0.9453,0.9672,0.9836
i_chestnuts_1_5,illumination,1837,1822,9.58,0.1523,0.9907,0.9951,0.9973,1,1,1,0.8477,0.9492,0.9695,0.9848
i_chestnuts_1_6,illumination,1865,1845,9.55,0.2048,0.9898,0.9936,0.9957,1,1,1,0.7952,0.9317,0.9590,0.9795
i_crownday_1_2,illumination,1818,1816,9.72,0.4080,0.9983,1.0000,1.0000,1,1,1,0.5920,0.8640,0.9184,0.9592
i_crownday_1_3,illumination,1834,1834,10.23,0.1577,1.0000,1.0000,1.0000,1,1,1,0.8423,0.9474,0.9685,0.9842
i_crownday_1_4,illumination,1833,1832,10.04,0.1962,0.9995,1.0000,1.0000,1,1,1,0.8038,0.9346,0.9608,0.9804
i_crownday_1_5,illumination,1846,1846,9.66,0.2323,1.0000,1.0000,1.0000,1,1,1,0.7677,0.9226,0.9535,0.9768
i_crownday_1_6,illumination,1806,1802,9.61,0.4689,0.9972,1.0000,1.0000,1,1,1,0.5311,0.8437,0.9062,0.9531
i_dome_1_2,illumination,1838,1838,9.62,0.0652,1.0000,1.0000,1.0000,1,1,1,0.9348,0.9783,0.9870,0.9935
i_dome_1_3,illumination,1405,1288,9.75,1.0648,0.9203,0.9246,0.9253,1,1,1,0.0000,0.6451,0.7870,0.8935
i_dome_1_4,illumination,1411,1300,10.41,0.5297,0.9235,0.9291,0.9313,1,1,1,0.4703,0.8234,0.8941,0.9470
i_dome_1_5,illumination,1467,1369,10.73,0.5176,0.9346,0.9393,0.9434,1,1,1,0.4824,0.8275,0.8965,0.9482
i_dome_1_6,illumination,1826,1770,10.93,0.4581,0.9688,0.9699,0.9699,1,1,1,0.5419,0.8473,0.9084,0.9542
i_duda_1_2,illumination,1303,1303,9.41,0.1485,1.0000,1.0000,1.0000,1,1,1,0.8515,0.9505,0.9703,0.9852
i_duda_1_3,illumination,1307,1307,9.34,0.2598,1.0000,1.0000,1.0000,1,1,1,0.7402,0.9134,0.9480,0.9740
i_duda_1_4,illumination,1305,1305,9.76,0.2328,1.0000,1.0000,1.0000,1,1,1,0.7672,0.9224,0.9534,0.9767
i_duda_1_5,illumination,1295,1293,9.64,0.3557,0.9985,0.9985,0.9992,1,1,1,0.6443,0.8814,0.9289,0.9644
i_duda_1_6,illumination,1250,1247,9.25,0.2865,0.9984,0.9984,0.9992,1,1,1,0.7135,0.9045,0.9427,0.9714
i_fenis_1_2,illumination,1781,1776,8.80,0.2394,0.9966,0.9983,0.9989,1,1,1,0.7606,0.9202,0.9521,0.9761
i_fenis_1_3,illumination,1757,1748,8.52,0.2378,0.9954,0.9983,0.9983,1,1,1,0.7622,0.9207,0.9524,0.9762
i_fenis_1_4,illumination,1470,1414,8.31,0.6176,0.9633,0.9776,0.9891,1,1,1,0.3824,0.7941,0.8765,0.9382
i_fenis_1_5,illumination,1392,1302,8.45,0.8975,0.9375,0.9562,0.9713,1,1,1,0.1025,0.7008,0.8205,0.9102
i_fenis_1_6,illumination,1469,1411,8.33,0.6748,0.9571,0.9721,0.9803,1,1,1,0.3252,0.7751,0.8650,0.9325
i_fog_1_2,illumination,1698,1698,15.61,0.1261,1.0000,1.0000,1.0000,1,1,1,0.8739,0.9580,0.9748,0.9874
