PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
i_ajuntament_1_2,illumination,1549,1494,284.77,0.3596,0.9522,0.9961,0.9994,1,1,1,0.6404,0.8801,0.9281,0.9640
i_ajuntament_1_3,illumination,1196,1145,74.77,0.7693,0.9264,0.9983,0.9992,1,1,1,0.2307,0.7436,0.8461,0.9231
i_ajuntament_1_4,illumination,1031,959,70.27,0.5137,0.9079,0.9981,1.0000,1,1,1,0.4863,0.8288,0.8973,0.9486
i_ajuntament_1_5,illumination,1032,937,70.62,1.1503,0.8488,0.9884,1.0000,1,1,1,0.0000,0.6166,0.7699,0.8850
i_ajuntament_1_6,illumination,1062,989,68.01,0.8648,0.8936,0.9991,1.0000,1,1,1,0.1352,0.7117,0.8270,0.9135
i_autannes_1_2,illumination,1596,1449,71.08,0.3775,0.9060,0.9718,0.9919,1,1,1,0.6225,0.8742,0.9245,0.9622
i_autannes_1_3,illumination,1511,1371,67.04,0.4713,0.8981,0.9795,0.9967,1,1,1,0.5287,0.8429,0.9057,0.9529
i_autannes_1_4,illumination,1264,1110,68.47,1.2713,0.8149,0.9707,0.9976,1,1,1,0.0000,0.5762,0.7457,0.8729
i_autannes_1_5,illumination,1306,1172,67.03,0.7209,0.8867,0.9862,0.9969,1,1,1,0.2791,0.7597,0.8558,0.9279
i_autannes_1_6,illumination,1424,1316,67.25,0.4300,0.9228,0.9895,0.9979,1,1,1,0.5700,0.8567,0.9140,0.9570
i_bologna_1_2,illumination,1577,1393,72.19,0.3641,0.8802,0.9543,0.9797,1,1,1,0.6359,0.8786,0.9272,0.9636
i_bologna_1_3,illumination,1574,1371,65.78,1.7119,0.8583,0.9619,0.9790,1,1,1,0.0000,0.4294,0.6576,0.8288
i_bologna_1_4,illumination,1515,1310,65.62,0.8814,0.8601,0.9512,0.9769,1,1,1,0.1186,0.7062,0.8237,0.9119
i_bologna_1_5,illumination,1497,1315,68.71,0.5437,0.8704,0.9593,0.9773,1,1,1,0.4563,0.8188,0.8913,0.9456
i_bologna_1_6,illumination,1485,1273,65.87,1.0977,0.8485,0.9562,0.9825,1,1,1,0.0000,0.6341,0.7805,0.8902
i_books_1_2,illumination,1561,1486,70.83,0.1953,0.9520,0.9923,0.9968,1,1,1,0.8047,0.9349,0.9609,0.9805
i_books_1_3,illumination,1494,1401,67.73,0.2249,0.9331,0.9900,0.9980,1,1,1,0.7751,0.9250,0.9550,0.9775
i_books_1_4,illumination,1549,1445,68.72,0.1798,0.9342,0.9923,0.9981,1,1,1,0.8202,0.9401,0.9640,0.9820
i_books_1_5,illumination,1591,1486,68.40,0.2154,0.9334,0.9881,0.9969,1,1,1,0.7846,0.9282,0.9569,0.9785
i_books_1_6,illumination,1559,1473,71.81,0.2681,0.9410,0.9872,0.9968,1,1,1,0.7319,0.9106,0.9464,0.9732
i_boutique_1_2,illumination,1438,1394,78.13,0.2539,0.9659,0.9937,0.9972,1,1,1,0.7461,0.9154,0.9492,0.9746
i_boutique_1_3,illumination,1323,1306,76.48,0.1963,0.9864,0.9992,1.0000,1,1,1,0.8037,0.9346,0.9607,0.9804
i_boutique_1_4,illumination,1320,1304,70.61,0.2528,0.9864,0.9992,1.0000,1,1,1,0.7472,0.9157,0.9494,0.9747
i_boutique_1_5,illumination,1174,1120,67.78,0.4448,0.9404,0.9940,0.9991,1,1,1,0.5552,0.8517,0.9110,0.9555
i_boutique_1_6,illumination,1150,1112,67.57,0.3978,0.9539,0.9974,1.0000,1,1,1,0.6022,0.8674,0.9204,0.9602
