PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
i_ajuntament_1_2,illumination,889,767,190.23,0.2406,0.8628,0.8864,0.8898,1,1,1,0.7594,0.9198,0.9519,0.9759
i_ajuntament_1_3,illumination,330,75,8.24,1.5776,0.2152,0.2394,0.2424,1,1,1,0.0000,0.4741,0.6845,0.8422
i_ajuntament_1_4,illumination,244,6,7.81,246.7846,0.0533,0.0656,0.0697,0,0,0,0.0000,0.0000,0.0000,0.0000
i_ajuntament_1_5,illumination,224,8,7.34,297.7600,0.0893,0.1027,0.1071,0,0,0,0.0000,0.0000,0.0000,0.0000
i_ajuntament_1_6,illumination,246,8,8.35,413.1491,0.0854,0.0854,0.0854,0,0,0,0.0000,0.0000,0.0000,0.0000
i_autannes_1_2,illumination,357,205,7.86,0.0000,0.5742,0.5854,0.5882,1,1,1,1.0000,1.0000,1.0000,1.0000
i_autannes_1_3,illumination,329,109,8.19,0.0000,0.3313,0.3374,0.3435,1,1,1,1.0000,1.0000,1.0000,1.0000
i_autannes_1_4,illumination,314,104,8.77,2.9691,0.3185,0.3694,0.3694,1,1,1,0.0000,0.0103,0.4062,0.7031
i_autannes_1_5,illumination,302,71,10.48,2.1153,0.2318,0.2682,0.2914,1,1,1,0.0000,0.2949,0.5769,0.7885
i_autannes_1_6,illumination,349,207,7.22,2.3658,0.5874,0.6418,0.6533,1,1,1,0.0000,0.2114,0.5268,0.7634
i_bologna_1_2,illumination,287,232,5.50,0.9539,0.8084,0.8362,0.8502,1,1,1,0.0461,0.6820,0.8092,0.9046
i_bologna_1_3,illumination,255,135,5.71,3.2910,0.5255,0.5765,0.5882,0,1,1,0.0000,0.0000,0.3418,0.6709
i_bologna_1_4,illumination,260,161,6.87,2.6304,0.6154,0.6654,0.6769,1,1,1,0.0000,0.1232,0.4739,0.7370
i_bologna_1_5,illumination,252,134,6.40,1.7700,0.5278,0.5556,0.5833,1,1,1,0.0000,0.4100,0.6460,0.8230
i_bologna_1_6,illumination,248,130,6.24,3.1736,0.5161,0.5685,0.5927,0,1,1,0.0000,0.0000,0.3653,0.6826
i_books_1_2,illumination,608,533,7.90,0.0000,0.8766,0.8964,0.9046,1,1,1,1.0000,1.0000,1.0000,1.0000
i_books_1_3,illumination,598,419,10.06,0.0000,0.7007,0.7207,0.7291,1,1,1,1.0000,1.0000,1.0000,1.0000
i_books_1_4,illumination,686,553,9.47,0.0000,0.8061,0.8309,0.8367,1,1,1,1.0000,1.0000,1.0000,1.0000
i_books_1_5,illumination,776,679,9.21,0.0000,0.8750,0.8918,0.8956,1,1,1,1.0000,1.0000,1.0000,1.0000
i_books_1_6,illumination,815,738,8.54,0.0000,0.9067,0.9141,0.9227,1,1,1,1.0000,1.0000,1.0000,1.0000
i_boutique_1_2,illumination,994,792,16.95,0.4790,0.7948,0.8360,0.8441,1,1,1,0.5210,0.8403,0.9042,0.9521
i_boutique_1_3,illumination,735,349,14.85,0.9994,0.4735,0.5333,0.5442,1,1,1,0.0006,0.6669,0.8001,0.9001
i_boutique_1_4,illumination,754,391,14.74,0.0000,0.5199,0.5862,0.6233,1,1,1,1.0000,1.0000,1.0000,1.0000
i_boutique_1_5,illumination,618,8,18.18,442.2215,0.0566,0.0647,0.0761,0,0,0,0.0000,0.0000,0.0000,0.0000
i_boutique_1_6,illumination,602,46,13.91,3.3979,0.0781,0.0947,0.1047,0,1,1,0.0000,0.0000,0.3204,0.6602
i_bridger_1_2,illumination,838,619,14.97,0.0000,0.7399,0.8162,0.8496,1,1,1,1.0000,1.0000,1.0000,1.0000
i_bridger_1_3,illumination,872,677,12.26,0.0000,0.7775,0.8303,0.8417,1,1,1,1.0000,1.0000,1.0000,1.0000
i_bridger_1_4,illumination,732,511,12.36,0.6233,0.6981,0.7678,0.7883,1,1,1,0.3767,0.7922,0.8753,0.9377
i_bridger_1_5,illumination,519,282,9.48,0.9388,0.5376,0.5838,0.5992,1,1,1,0.0612,0.6871,0.8122,0.9061
i_bridger_1_6,illumination,60,16,5.99,17.3866,0.2500,0.2833,0.2833,0,0,0,0.0000,0.0000,0.0000,0.0000
i_brooklyn_1_2,illumination,622,377,11.19,1.4487,0.6013,0.6752,0.7042,1,1,1,0.0000,0.5171,0.7103,0.8551
i_brooklyn_1_3,illumination,925,846,10.54,1.2226,0.8897,0.9438,0.9578,1,1,1,0.0000,0.5925,0.7555,0.8777
i_brooklyn_1_4,illumination,468,146,10.60,1.3937,0.2927,0.3397,0.3675,1,1,1,0.0000,0.5354,0.7213,0.8606
i_brooklyn_1_5,illumination,870,773,10.27,1.4533,0.8506,0.9333,0.9483,1,1,1,0.0000,0.5156,0.7093,0.8547
i_brooklyn_1_6,illumination,572,315,10.80,2.0546,0.5052,0.6049,0.6486,1,1,1,0.0000,0.3151,0.5891,0.7945
i_castle_1_2,illumination,580,95,14.31,2.8797,0.1638,0.1966,0.2121,1,1,1,0.0000,0.0401,0.4241,0.7120
i_castle_1_3,illumination,549,190,13.98,2.5131,0.3497,0.3825,0.3953,1,1,1,0.0000,0.1623,0.4974,0.7487
i_castle_1_4,illumination,469,178,11.02,2.7704,0.3753,0.4051,0.4264,1,1,1,0.0000,0.0765,0.4459,0.7230
i_castle_1_5,illumination,458,66,11.37,1.9935,0.1354,0.1638,0.1878,1,1,1,0.0000,0.3355,0.6013,0.8007
i_castle_1_6,illumination,515,21,13.77,439.1132,0.0990,0.1301,0.1398,0,0,0,0.0000,0.0000,0.0000,0.0000
i_chestnuts_1_2,illumination,781,509,13.38,0.9465,0.6517,0.7017,0.7298,1,1,1,0.0535,0.6845,0.8107,0.9053
i_chestnuts_1_3,illumination,783,523,13.16,0.0000,0.6679,0.7229,0.7535,1,1,1,1.0000,1.0000,1.0000,1.0000
i_chestnuts_1_4,illumination,797,520,13.29,0.0000,0.6524,0.7102,0.7327,1,1,1,1.0000,1.0000,1.0000,1.0000
i_chestnuts_1_5,illumination,653,366,12.45,0.0000,0.5605,0.6309,0.6524,1,1,1,1.0000,1.0000,1.0000,1.0000
i_chestnuts_1_6,illumination,562,172,12.25,2.6787,0.3078,0.3612,0.3915,1,1,1,0.0000,0.1071,0.4643,0.7321
i_crownday_1_2,illumination,460,134,10.27,2.2095,0.2804,0.3043,0.3196,1,1,1,0.0000,0.2635,0.5581,0.7790
i_crownday_1_3,illumination,485,256,9.91,1.0431,0.5237,0.5567,0.5608,1,1,1,0.0000,0.6523,0.7914,0.8957
i_crownday_1_4,illumination,525,339,9.44,0.0000,0.6457,0.6686,0.6819,1,1,1,1.0000,1.0000,1.0000,1.0000
i_crownday_1_5,illumination,721,635,9.02,0.5014,0.8821,0.9112,0.9154,1,1,1,0.4986,0.8329,0.8997,0.9499
i_crownday_1_6,illumination,459,125,10.67,3.0822,0.2702,0.2832,0.2876,0,1,1,0.0000,0.0000,0.3836,0.6918
i_dome_1_2,illumination,838,702,12.30,0.0000,0.8377,0.8652,0.8771,1,1,1,1.0000,1.0000,1.0000,1.0000
i_dome_1_3,illumination,512,86,12.07,1.3460,0.1680,0.1777,0.1797,1,1,1,0.0000,0.5513,0.7308,0.8654
i_dome_1_4,illumination,517,81,11.65,5.5828,0.1586,0.1721,0.1721,0,0,1,0.0000,0.0000,0.0000,0.4417
i_dome_1_5,illumination,508,35,11.65,190.7197,0.1535,0.1693,0.1732,0,0,0,0.0000,0.0000,0.0000,0.0000
i_dome_1_6,illumination,517,154,11.67,1.9514,0.2979,0.3308,0.3462,1,1,1,0.0000,0.3495,0.6097,0.8049
i_duda_1_2,illumination,983,940,9.21,0.1355,0.9563,0.9817,0.9858,1,1,1,0.8645,0.9548,0.9729,0.9865
i_duda_1_3,illumination,743,666,8.24,0.3422,0.8991,0.9300,0.9394,1,1,1,0.6578,0.8859,0.9316,0.9658
i_duda_1_4,illumination,567,490,7.71,0.4656,0.8677,0.9048,0.9136,1,1,1,0.5344,0.8448,0.9069,0.9534
i_duda_1_5,illumination,456,360,7.31,1.2963,0.7829,0.8377,0.8553,1,1,1,0.0000,0.5679,0.7407,0.8704
i_duda_1_6,illumination,268,162,6.43,0.0000,0.6045,0.6828,0.6978,1,1,1,1.0000,1.0000,1.0000,1.0000
i_fenis_1_2,illumination,923,770,11.17,0.0000,0.8353,0.8765,0.8917,1,1,1,1.0000,1.0000,1.0000,1.0000
i_fenis_1_3,illumination,582,120,11.42,0.8072,0.2182,0.2440,0.2543,1,1,1,0.1928,0.7309,0.8386,0.9193
i_fenis_1_4,illumination,453,7,10.48,292.0674,0.0221,0.0243,0.0265,0,0,0,0.0000,0.0000,0.0000,0.0000
i_fenis_1_5,illumination,407,12,9.43,238.0075,0.0295,0.0295,0.0393,0,0,0,0.0000,0.0000,0.0000,0.0000
i_fenis_1_6,illumination,372,7,9.30,293.8066,0.0108,0.0161,0.0161,0,0,0,0.0000,0.0000,0.0000,0.0000
i_fog_1_2,illumination,453,238,8.65,0.5069,0.5254,0.5276,0.5276,1,1,1,0.4931,0.8310,0.8986,0.9493
i_fog_1_3,illumination,400,174,8.41,0.3118,0.4350,0.4425,0.4425,1,1,1,0.6882,0.8961,0.9376,0.9688
i_fog_1_4,illumination,402,162,7.79,0.0000,0.4030,0.4104,0.4104,1,1,1,1.0000,1.0000,1.0000,1.0000
i_fog_1_5,illumination,347,142,7.61,1.2214,0.4063,0.4092,0.4121,1,1,1,0.0000,0.5929,0.7557,0.8779
i_fog_1_6,illumination,327,126,7.39,3.3084,0.3823,0.4067,0.4128,0,1,1,0.0000,0.0000,0.3383,0.6692
i_fruits_1_2,illumination,691,662,8.98,0.1588,0.9580,0.9624,0.9653,1,1,1,0.8412,0.9471,0.9682,0.9841
i_fruits_1_3,illumination,541,493,9.53,0.3182,0.9094,0.9168,0.9205,1,1,1,0.6818,0.8939,0.9364,0.9682
i_fruits_1_4,illumination,525,453,9.45,0.0000,0.8629,0.8762,0.8838,1,1,1,1.0000,1.0000,1.0000,1.0000
i_fruits_1_5,illumination,510,393,9.76,0.3805,0.7725,0.7804,0.7863,1,1,1,0.6195,0.8732,0.9239,0.9619
i_fruits_1_6,illumination,533,445,8.99,0.5482,0.8349,0.8612,0.8687,1,1,1,0.4518,0.8173,0.8904,0.9452
i_gonnenberg_1_2,illumination,1114,1010,11.64,0.0000,0.9066,0.9336,0.9399,1,1,1,1.0000,1.0000,1.0000,1.0000
