PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
i_ajuntament_1_2,illumination,963,957,303.83,0.3131,0.9917,1.0000,1.0000,1,1,1,0.6869,0.8956,0.9374,0.9687
i_ajuntament_1_3,illumination,665,662,70.60,0.7995,0.9895,1.0000,1.0000,1,1,1,0.2005,0.7335,0.8401,0.9201
i_ajuntament_1_4,illumination,464,455,65.09,0.8424,0.9763,0.9935,0.9978,1,1,1,0.1576,0.7192,0.8315,0.9158
i_ajuntament_1_5,illumination,477,466,62.57,0.7231,0.9665,0.9937,0.9979,1,1,1,0.2769,0.7590,0.8554,0.9277
i_ajuntament_1_6,illumination,480,473,64.10,1.2738,0.9771,0.9938,0.9979,1,1,1,0.0000,0.5754,0.7452,0.8726
i_autannes_1_2,illumination,436,431,58.74,0.3301,0.9885,0.9931,0.9954,1,1,1,0.6699,0.8900,0.9340,0.9670
i_autannes_1_3,illumination,379,376,52.61,0.4678,0.9921,0.9974,1.0000,1,1,1,0.5322,0.8441,0.9064,0.9532
i_autannes_1_4,illumination,316,309,54.84,1.2280,0.9462,0.9968,1.0000,1,1,1,0.0000,0.5907,0.7544,0.8772
i_autannes_1_5,illumination,331,325,54.51,0.8688,0.9789,0.9940,1.0000,1,1,1,0.1312,0.7104,0.8262,0.9131
i_autannes_1_6,illumination,367,361,53.53,0.2671,0.9809,1.0000,1.0000,1,1,1,0.7329,0.9110,0.9466,0.9733
i_bologna_1_2,illumination,611,610,56.29,0.1061,0.9984,1.0000,1.0000,1,1,1,0.8939,0.9646,0.9788,0.9894
i_bologna_1_3,illumination,558,558,53.19,0.2162,1.0000,1.0000,1.0000,1,1,1,0.7838,0.9279,0.9568,0.9784
i_bologna_1_4,illumination,542,541,51.11,0.3254,0.9982,0.9982,0.9982,1,1,1,0.6746,0.8915,0.9349,0.9675
i_bologna_1_5,illumination,506,502,52.90,0.2118,0.9921,0.9960,0.9980,1,1,1,0.7882,0.9294,0.9576,0.9788
i_bologna_1_6,illumination,494,489,57.50,0.2106,0.9899,1.0000,1.0000,1,1,1,0.7894,0.9298,0.9579,0.9789
i_books_1_2,illumination,812,810,69.16,0.0971,0.9975,1.0000,1.0000,1,1,1,0.9029,0.9676,0.9806,0.9903
i_books_1_3,illumination,792,785,67.06,0.2396,0.9886,0.9937,0.9987,1,1,1,0.7604,0.9201,0.9521,0.9760
i_books_1_4,illumination,821,814,64.96,0.1898,0.9915,0.9988,1.0000,1,1,1,0.8102,0.9367,0.9620,0.9810
i_books_1_5,illumination,838,834,61.05,0.2329,0.9952,1.0000,1.0000,1,1,1,0.7671,0.9224,0.9534,0.9767
i_books_1_6,illumination,794,789,63.65,0.2472,0.9937,0.9987,1.0000,1,1,1,0.7528,0.9176,0.9506,0.9753
i_boutique_1_2,illumination,1213,1207,74.99,0.1265,0.9951,1.0000,1.0000,1,1,1,0.8735,0.9578,0.9747,0.9873
i_boutique_1_3,illumination,1278,1269,75.45,0.1516,0.9937,1.0000,1.0000,1,1,1,0.8484,0.9495,0.9697,0.9848
i_boutique_1_4,illumination,1235,1226,74.18,0.2048,0.9927,1.0000,1.0000,1,1,1,0.7952,0.9317,0.9590,0.9795
i_boutique_1_5,illumination,990,983,77.11,0.2644,0.9899,1.0000,1.0000,1,1,1,0.7356,0.9119,0.9471,0.9736
i_boutique_1_6,illumination,975,967,73.43,0.4131,0.9897,1.0000,1.0000,1,1,1,0.5869,0.8623,0.9174,0.9587
i_bridger_1_2,illumination,872,867,56.17,0.3855,0.9931,1.0000,1.0000,1,1,1,0.6145,0.8715,0.9229,0.9615
i_bridger_1_3,illumination,811,803,53.87,0.3588,0.9877,1.0000,1.0000,1,1,1,0.6412,0.8804,0.9282,0.9641
i_bridger_1_4,illumination,821,820,51.17,0.3119,0.9963,1.0000,1.0000,1,1,1,0.6881,0.8960,0.9376,0.9688
i_bridger_1_5,illumination,748,736,52.76,0.2882,0.9853,0.9973,1.0000,1,1,1,0.7118,0.9039,0.9424,0.9712
i_bridger_1_6,illumination,576,567,57.30,0.5463,0.9792,1.0000,1.0000,1,1,1,0.4537,0.8179,0.8907,0.9454
i_brooklyn_1_2,illumination,986,982,66.46,0.3486,0.9959,0.9990,1.0000,1,1,1,0.6514,0.8838,0.9303,0.9651
i_brooklyn_1_3,illumination,1147,1140,70.33,1.2134,0.9852,0.9991,1.0000,1,1,1,0.0000,0.5955,0.7573,0.8787
