PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
i_ajuntament_1_2,illumination,963,956,265.19,0.2616,0.9917,1.0000,1.0000,1,1,1,0.7384,0.9128,0.9477,0.9738
i_ajuntament_1_3,illumination,665,661,61.31,0.7273,0.9925,1.0000,1.0000,1,1,1,0.2727,0.7576,0.8545,0.9273
i_ajuntament_1_4,illumination,464,455,59.36,0.6783,0.9784,0.9957,0.9978,1,1,1,0.3217,0.7739,0.8643,0.9322
i_ajuntament_1_5,illumination,477,469,54.86,0.5070,0.9706,0.9937,0.9979,1,1,1,0.4930,0.8310,0.8986,0.9493
i_ajuntament_1_6,illumination,480,474,56.15,0.9628,0.9854,0.9938,0.9979,1,1,1,0.0372,0.6791,0.8074,0.9037
i_autannes_1_2,illumination,436,431,53.26,0.3212,0.9885,0.9954,0.9954,1,1,1,0.6788,0.8929,0.9358,0.9679
i_autannes_1_3,illumination,379,375,48.22,0.5058,0.9921,0.9974,1.0000,1,1,1,0.4942,0.8314,0.8988,0.9494
i_autannes_1_4,illumination,316,311,48.87,1.2157,0.9557,0.9968,1.0000,1,1,1,0.0000,0.5948,0.7569,0.8784
i_autannes_1_5,illumination,331,326,49.23,0.8404,0.9789,0.9970,0.9970,1,1,1,0.1596,0.7199,0.8319,0.9160
i_autannes_1_6,illumination,367,359,46.16,0.3556,0.9809,1.0000,1.0000,1,1,1,0.6444,0.8815,0.9289,0.9644
i_bologna_1_2,illumination,611,611,45.91,0.0974,1.0000,1.0000,1.0000,1,1,1,0.9026,0.9675,0.9805,0.9903
i_bologna_1_3,illumination,558,558,41.17,0.1895,1.0000,1.0000,1.0000,1,1,1,0.8105,0.9368,0.9621,0.9810
i_bologna_1_4,illumination,542,540,43.28,0.3335,0.9963,0.9982,0.9982,1,1,1,0.6665,0.8888,0.9333,0.9666
i_bologna_1_5,illumination,506,504,41.65,0.3423,0.9941,0.9960,0.9980,1,1,1,0.6577,0.8859,0.9315,0.9658
i_bologna_1_6,illumination,494,491,42.96,0.3054,0.9919,1.0000,1.0000,1,1,1,0.6946,0.8982,0.9389,0.9695
i_books_1_2,illumination,812,810,52.57,0.1370,0.9975,1.0000,1.0000,1,1,1,0.8630,0.9543,0.9726,0.9863
i_books_1_3,illumination,792,784,50.95,0.2515,0.9899,0.9937,0.9987,1,1,1,0.7485,0.9162,0.9497,0.9748
i_books_1_4,illumination,821,815,49.35,0.2285,0.9927,0.9988,1.0000,1,1,1,0.7715,0.9238,0.9543,0.9772
i_books_1_5,illumination,838,834,50.23,0.2480,0.9940,1.0000,1.0000,1,1,1,0.7520,0.9173,0.9504,0.9752
i_books_1_6,illumination,794,789,50.87,0.2015,0.9937,0.9987,1.0000,1,1,1,0.7985,0.9328,0.9597,0.9799
i_boutique_1_2,illumination,1213,1208,57.37,0.1277,0.9951,1.0000,1.0000,1,1,1,0.8723,0.9574,0.9745,0.9872
i_boutique_1_3,illumination,1278,1273,60.23,0.1390,0.9961,1.0000,1.0000,1,1,1,0.8610,0.9537,0.9722,0.9861
i_boutique_1_4,illumination,1235,1229,54.23,0.1998,0.9951,1.0000,1.0000,1,1,1,0.8002,0.9334,0.9600,0.9800
i_boutique_1_5,illumination,990,984,59.03,0.2432,0.9919,1.0000,1.0000,1,1,1,0.7568,0.9189,0.9514,0.9757
i_boutique_1_6,illumination,975,968,59.01,0.4157,0.9928,1.0000,1.0000,1,1,1,0.5843,0.8614,0.9169,0.9584
i_bridger_1_2,illumination,872,868,44.15,0.4276,0.9920,1.0000,1.0000,1,1,1,0.5724,0.8575,0.9145,0.9572
i_bridger_1_3,illumination,811,805,39.36,0.3521,0.9901,1.0000,1.0000,1,1,1,0.6479,0.8826,0.9296,0.9648
i_bridger_1_4,illumination,821,819,39.55,0.3105,0.9988,1.0000,1.0000,1,1,1,0.6895,0.8965,0.9379,0.9689
i_bridger_1_5,illumination,748,739,40.65,0.3020,0.9893,0.9987,1.0000,1,1,1,0.6980,0.8993,0.9396,0.9698
i_bridger_1_6,illumination,576,569,44.84,0.5903,0.9826,1.0000,1.0000,1,1,1,0.4097,0.8032,0.8819,0.9410
i_brooklyn_1_2,illumination,986,982,49.29,0.3702,0.9959,0.9990,1.0000,1,1,1,0.6298,0.8766,0.9260,0.9630
i_brooklyn_1_3,illumination,1147,1143,43.89,1.1747,0.9826,0.9991,1.0000,1,1,1,0.0000,0.6084,0.7651,0.8825
i_brooklyn_1_4,illumination,916,907,46.19,0.9111,0.9847,0.9989,1.0000,1,1,1,0.0889,0.6963,0.8178,0.9089
i_brooklyn_1_5,illumination,1124,1122,46.01,1.4601,0.9733,0.9991,0.9991,1,1,1,0.0000,0.5133,0.7080,0.8540
