PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
i_ajuntament_1_2,illumination,2092,1988,345.29,0.2863,0.9498,0.9952,0.9990,1,1,1,0.7137,0.9046,0.9427,0.9714
i_ajuntament_1_3,illumination,1735,1535,38.58,1.1112,0.8755,0.9758,0.9965,1,1,1,0.0000,0.6296,0.7778,0.8889
i_ajuntament_1_4,illumination,1460,1026,50.82,2.4531,0.6753,0.8959,0.9719,1,1,1,0.0000,0.1823,0.5094,0.7547
i_ajuntament_1_5,illumination,1421,1027,40.96,1.9761,0.7136,0.8973,0.9740,1,1,1,0.0000,0.3413,0.6048,0.8024
i_ajuntament_1_6,illumination,1483,1117,39.19,1.8828,0.7424,0.9150,0.9717,1,1,1,0.0000,0.3724,0.6234,0.8117
i_autannes_1_2,illumination,1831,1786,45.27,0.1896,0.9727,0.9978,1.0000,1,1,1,0.8104,0.9368,0.9621,0.9810
i_autannes_1_3,illumination,1688,1617,35.72,0.1990,0.9597,0.9947,0.9988,1,1,1,0.8010,0.9337,0.9602,0.9801
i_autannes_1_4,illumination,1305,1080,37.53,1.2343,0.8222,0.9479,0.9900,1,1,1,0.0000,0.5886,0.7531,0.8766
i_autannes_1_5,illumination,1279,1073,38.44,0.6607,0.8366,0.9539,0.9867,1,1,1,0.3393,0.7798,0.8679,0.9339
i_autannes_1_6,illumination,1631,1459,35.38,0.3405,0.8927,0.9792,0.9945,1,1,1,0.6595,0.8865,0.9319,0.9659
i_bologna_1_2,illumination,1085,1072,36.80,0.2688,0.9880,1.0000,1.0000,1,1,1,0.7312,0.9104,0.9462,0.9731
i_bologna_1_3,illumination,1032,1012,23.15,0.1596,0.9806,0.9990,1.0000,1,1,1,0.8404,0.9468,0.9681,0.9840
i_bologna_1_4,illumination,978,949,24.05,0.3041,0.9693,0.9959,1.0000,1,1,1,0.6959,0.8986,0.9392,0.9696
i_bologna_1_5,illumination,962,917,23.73,0.4615,0.9522,0.9948,1.0000,1,1,1,0.5385,0.8462,0.9077,0.9538
i_bologna_1_6,illumination,961,910,23.49,0.5668,0.9490,0.9938,0.9979,1,1,1,0.4332,0.8111,0.8866,0.9433
i_books_1_2,illumination,1261,1211,27.95,0.2016,0.9596,0.9937,0.9976,1,1,1,0.7984,0.9328,0.9597,0.9798
i_books_1_3,illumination,1290,1240,27.93,0.1268,0.9612,0.9953,0.9969,1,1,1,0.8732,0.9577,0.9746,0.9873
i_books_1_4,illumination,1365,1328,27.92,0.1183,0.9707,0.9934,0.9971,1,1,1,0.8817,0.9606,0.9763,0.9882
i_books_1_5,illumination,1421,1383,27.07,0.1232,0.9733,0.9972,0.9993,1,1,1,0.8768,0.9589,0.9754,0.9877
i_books_1_6,illumination,1334,1230,29.21,0.3440,0.9213,0.9625,0.9805,1,1,1,0.6560,0.8853,0.9312,0.9656
i_boutique_1_2,illumination,2114,2072,40.66,0.1686,0.9782,0.9986,0.9995,1,1,1,0.8314,0.9438,0.9663,0.9831
i_boutique_1_3,illumination,2108,2019,40.08,0.3656,0.9545,0.9948,0.9995,1,1,1,0.6344,0.8781,0.9269,0.9634
i_boutique_1_4,illumination,2131,2048,40.55,0.3475,0.9596,0.9869,0.9920,1,1,1,0.6525,0.8842,0.9305,0.9653
i_boutique_1_5,illumination,1725,1479,40.90,1.0592,0.8377,0.9530,0.9872,1,1,1,0.0000,0.6469,0.7882,0.8941
i_boutique_1_6,illumination,1744,1510,38.10,0.8525,0.8538,0.9558,0.9868,1,1,1,0.1475,0.7158,0.8295,0.9147
i_bridger_1_2,illumination,2004,1917,46.23,0.1930,0.9561,0.9975,1.0000,1,1,1,0.8070,0.9357,0.9614,0.9807
i_bridger_1_3,illumination,1777,1687,36.64,0.2343,0.9488,0.9949,0.9994,1,1,1,0.7657,0.9219,0.9531,0.9766
i_bridger_1_4,illumination,1898,1813,36.15,0.1878,0.9547,0.9963,0.9995,1,1,1,0.8122,0.9374,0.9624,0.9812
i_bridger_1_5,illumination,1726,1610,34.84,0.2495,0.9299,0.9919,0.9994,1,1,1,0.7505,0.9168,0.9501,0.9751
i_bridger_1_6,illumination,1266,987,31.63,1.1844,0.7765,0.9518,0.9913,1,1,1,0.0000,0.6052,0.7631,0.8816
i_brooklyn_1_2,illumination,1862,1703,37.55,0.4737,0.9114,0.9742,0.9936,1,1,1,0.5263,0.8421,0.9053,0.9526
i_brooklyn_1_3,illumination,1813,1740,34.31,1.1381,0.9382,0.9945,0.9994,1,1,1,0.0000,0.6206,0.7724,0.8862
i_brooklyn_1_4,illumination,1654,1457,35.47,0.7769,0.8833,0.9764,0.9970,1,1,1,0.2231,0.7410,0.8446,0.9223
i_brooklyn_1_5,illumination,1840,1727,36.03,1.3002,0.9152,0.9935,0.9995,1,1,1,0.0000,0.5666,0.7400,0.8700
i_brooklyn_1_6,illumination,1781,1618,35.76,1.2935,0.8911,0.9843,0.9989,1,1,1,0.0000,0.5688,0.7413,0.8706
i_castle_1_2,illumination,1397,1197,34.32,0.6243,0.8533,0.9685,0.9943,1,1,1,0.3757,0.7919,0.8751,0.9376
i_castle_1_3,illumination,1609,1522,33.97,0.1952,0.9484,0.9938,0.9988,1,1,1,0.8048,0.9349,0.9610,0.9805
i_castle_1_4,illumination,1437,1346,31.41,1.0680,0.9262,0.9868,0.9958,1,1,1,0.0000,0.6440,0.7864,0.8932
i_castle_1_5,illumination,1205,1014,29.73,1.7513,0.8249,0.9527,0.9975,1,1,1,0.0000,0.4162,0.6497,0.8249
i_castle_1_6,illumination,1467,1217,36.24,0.5729,0.8282,0.9502,0.9884,1,1,1,0.4271,0.8090,0.8854,0.9427
i_chestnuts_1_2,illumination,1611,1570,32.19,0.2146,0.9739,0.9975,1.0000,1,1,1,0.7854,0.9285,0.9571,0.9785
