PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
i_ajuntament_1_2,illumination,2092,2010,290.20,0.3298,0.9565,0.9962,0.9990,1,1,1,0.6702,0.8901,0.9340,0.9670
i_ajuntament_1_3,illumination,1735,1564,15.73,1.0885,0.8744,0.9821,0.9960,1,1,1,0.0000,0.6372,0.7823,0.8911
i_ajuntament_1_4,illumination,1460,1051,25.31,2.2445,0.6719,0.8904,0.9719,1,1,1,0.0000,0.2518,0.5511,0.7756
i_ajuntament_1_5,illumination,1421,1077,18.06,1.9365,0.7016,0.8987,0.9775,1,1,1,0.0000,0.3545,0.6127,0.8063
i_ajuntament_1_6,illumination,1483,1157,19.50,1.8135,0.7276,0.9265,0.9697,1,1,1,0.0000,0.3955,0.6373,0.8187
i_autannes_1_2,illumination,1831,1798,23.74,0.1561,0.9814,0.9989,1.0000,1,1,1,0.8439,0.9480,0.9688,0.9844
i_autannes_1_3,illumination,1688,1630,14.19,0.1066,0.9633,0.9976,0.9994,1,1,1,0.8934,0.9645,0.9787,0.9893
i_autannes_1_4,illumination,1305,1085,15.39,1.2651,0.8084,0.9571,0.9916,1,1,1,0.0000,0.5783,0.7470,0.8735
i_autannes_1_5,illumination,1279,1085,14.95,0.5161,0.8397,0.9672,0.9875,1,1,1,0.4839,0.8280,0.8968,0.9484
i_autannes_1_6,illumination,1631,1478,13.63,0.3499,0.8976,0.9798,0.9933,1,1,1,0.6501,0.8834,0.9300,0.9650
i_bologna_1_2,illumination,1085,1079,23.42,0.1356,0.9908,1.0000,1.0000,1,1,1,0.8644,0.9548,0.9729,0.9864
i_bologna_1_3,illumination,1032,1026,9.61,0.2645,0.9942,1.0000,1.0000,1,1,1,0.7355,0.9118,0.9471,0.9736
i_bologna_1_4,illumination,978,954,9.44,0.2726,0.9755,1.0000,1.0000,1,1,1,0.7274,0.9091,0.9455,0.9727
i_bologna_1_5,illumination,962,931,9.17,0.3552,0.9657,0.9958,1.0000,1,1,1,0.6448,0.8816,0.9290,0.9645
i_bologna_1_6,illumination,961,924,10.32,0.3835,0.9480,0.9948,0.9990,1,1,1,0.6165,0.8722,0.9233,0.9616
i_books_1_2,illumination,1261,1216,10.85,0.2315,0.9588,0.9921,0.9960,1,1,1,0.7685,0.9228,0.9537,0.9768
i_books_1_3,illumination,1290,1241,10.51,0.1717,0.9581,0.9953,0.9969,1,1,1,0.8283,0.9428,0.9657,0.9828
i_books_1_4,illumination,1365,1327,10.58,0.1655,0.9700,0.9941,0.9971,1,1,1,0.8345,0.9448,0.9669,0.9834
i_books_1_5,illumination,1421,1376,10.85,0.0844,0.9704,0.9958,0.9993,1,1,1,0.9156,0.9719,0.9831,0.9916
i_books_1_6,illumination,1334,1221,11.69,0.3065,0.9153,0.9640,0.9805,1,1,1,0.6935,0.8978,0.9387,0.9693
i_boutique_1_2,illumination,2114,2081,15.58,0.1687,0.9792,0.9995,0.9995,1,1,1,0.8313,0.9438,0.9663,0.9831
i_boutique_1_3,illumination,2108,2045,15.87,0.4121,0.9620,0.9948,0.9995,1,1,1,0.5879,0.8626,0.9176,0.9588
