PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
i_ajuntament_1_2,illumination,993,928,246.32,0.3675,0.9245,0.9607,0.9809,1,1,1,0.6325,0.8775,0.9265,0.9633
i_ajuntament_1_3,illumination,779,606,4.58,1.2948,0.7522,0.8639,0.9012,1,1,1,0.0000,0.5684,0.7410,0.8705
i_ajuntament_1_4,illumination,507,221,3.94,1.8302,0.4142,0.5325,0.5996,1,1,1,0.0000,0.3899,0.6340,0.8170
i_ajuntament_1_5,illumination,512,259,3.62,1.1298,0.5020,0.5996,0.6582,1,1,1,0.0000,0.6234,0.7740,0.8870
i_ajuntament_1_6,illumination,537,246,4.06,1.3656,0.4507,0.5717,0.6480,1,1,1,0.0000,0.5448,0.7269,0.8634
i_autannes_1_2,illumination,883,767,10.35,0.4866,0.8698,0.9241,0.9456,1,1,1,0.5134,0.8378,0.9027,0.9513
i_autannes_1_3,illumination,812,669,4.14,0.4171,0.8202,0.8805,0.9200,1,1,1,0.5829,0.8610,0.9166,0.9583
i_autannes_1_4,illumination,896,628,4.41,1.0912,0.6730,0.7902,0.8382,1,1,1,0.0000,0.6363,0.7818,0.8909
i_autannes_1_5,illumination,897,640,4.12,1.0343,0.7046,0.8060,0.8540,1,1,1,0.0000,0.6552,0.7931,0.8966
i_autannes_1_6,illumination,898,739,3.98,0.3890,0.8163,0.8931,0.9220,1,1,1,0.6110,0.8703,0.9222,0.9611
i_bologna_1_2,illumination,686,629,9.70,0.5285,0.9169,0.9504,0.9694,1,1,1,0.4715,0.8238,0.8943,0.9472
i_bologna_1_3,illumination,643,575,3.31,0.2631,0.8958,0.9300,0.9409,1,1,1,0.7369,0.9123,0.9474,0.9737
i_bologna_1_4,illumination,664,595,3.34,0.9698,0.8946,0.9262,0.9458,1,1,1,0.0302,0.6767,0.8060,0.9030
i_bologna_1_5,illumination,673,598,3.43,0.6476,0.8960,0.9316,0.9480,1,1,1,0.3524,0.7841,0.8705,0.9352
i_bologna_1_6,illumination,665,583,3.38,0.8709,0.8722,0.9248,0.9398,1,1,1,0.1291,0.7097,0.8258,0.9129
i_books_1_2,illumination,614,579,3.45,0.0000,0.9446,0.9625,0.9674,1,1,1,1.0000,1.0000,1.0000,1.0000
i_books_1_3,illumination,769,710,3.64,0.0000,0.9233,0.9480,0.9610,1,1,1,1.0000,1.0000,1.0000,1.0000
i_books_1_4,illumination,770,716,3.62,0.2854,0.9286,0.9545,0.9714,1,1,1,0.7146,0.9049,0.9429,0.9715
i_books_1_5,illumination,771,715,3.67,0.1383,0.9274,0.9533,0.9663,1,1,1,0.8617,0.9539,0.9723,0.9862
i_books_1_6,illumination,680,626,3.55,0.2006,0.9221,0.9412,0.9485,1,1,1,0.7994,0.9331,0.9599,0.9799
i_boutique_1_2,illumination,1216,1091,4.19,0.0000,0.9013,0.9433,0.9622,1,1,1,1.0000,1.0000,1.0000,1.0000
i_boutique_1_3,illumination,1232,1065,4.92,0.4350,0.8531,0.9148,0.9416,1,1,1,0.5650,0.8550,0.9130,0.9565
i_boutique_1_4,illumination,1243,1067,5.86,0.4772,0.8479,0.9187,0.9445,1,1,1,0.5228,0.8409,0.9046,0.9523
i_boutique_1_5,illumination,1003,667,5.51,0.5738,0.6600,0.7488,0.7986,1,1,1,0.4262,0.8087,0.8852,0.9426
i_boutique_1_6,illumination,974,648,4.65,0.5303,0.6581,0.7536,0.7967,1,1,1,0.4697,0.8232,0.8939,0.9470
i_bridger_1_2,illumination,1343,1174,13.25,0.4974,0.8407,0.9412,0.9724,1,1,1,0.5026,0.8342,0.9005,0.9503
i_bridger_1_3,illumination,1288,1087,5.74,0.4282,0.8307,0.9138,0.9519,1,1,1,0.5718,0.8573,0.9144,0.9572
i_bridger_1_4,illumination,1172,1021,4.97,0.3502,0.8592,0.9275,0.9531,1,1,1,0.6498,0.8833,0.9300,0.9650
i_bridger_1_5,illumination,987,789,4.74,0.5230,0.7893,0.8835,0.9382,1,1,1,0.4770,0.8257,0.8954,0.9477
i_bridger_1_6,illumination,433,253,3.92,1.3757,0.5751,0.6813,0.7460,1,1,1,0.0000,0.5414,0.7249,0.8624
i_brooklyn_1_2,illumination,1503,1279,5.36,0.4192,0.8463,0.9175,0.9434,1,1,1,0.5808,0.8603,0.9162,0.9581
i_brooklyn_1_3,illumination,1564,1403,5.39,1.2047,0.8734,0.9533,0.9783,1,1,1,0.0000,0.5984,0.7591,0.8795
