PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
i_ajuntament_1_2,illumination,901,837,247.44,0.2836,0.9201,0.9489,0.9734,1,1,1,0.7164,0.9055,0.9433,0.9716
i_ajuntament_1_3,illumination,738,547,4.22,1.2082,0.7127,0.8225,0.8618,1,1,1,0.0000,0.5973,0.7584,0.8792
i_ajuntament_1_4,illumination,575,256,3.67,0.9782,0.4313,0.5443,0.6191,1,1,1,0.0218,0.6739,0.8044,0.9022
i_ajuntament_1_5,illumination,547,244,3.53,0.9584,0.4369,0.5430,0.6289,1,1,1,0.0416,0.6805,0.8083,0.9042
i_ajuntament_1_6,illumination,604,268,3.70,0.9701,0.4156,0.5298,0.6275,1,1,1,0.0299,0.6766,0.8060,0.9030
i_autannes_1_2,illumination,1213,1079,10.53,0.2156,0.8871,0.9398,0.9613,1,1,1,0.7844,0.9281,0.9569,0.9784
i_autannes_1_3,illumination,1082,923,4.08,0.0000,0.8595,0.9214,0.9482,1,1,1,1.0000,1.0000,1.0000,1.0000
i_autannes_1_4,illumination,1137,774,5.03,1.0114,0.6693,0.7740,0.8223,1,1,1,0.0000,0.6629,0.7977,0.8989
i_autannes_1_5,illumination,1123,755,4.50,1.3273,0.6652,0.7587,0.8032,1,1,1,0.0000,0.5576,0.7345,0.8673
i_autannes_1_6,illumination,1246,1009,4.10,0.3801,0.8138,0.8957,0.9318,1,1,1,0.6199,0.8733,0.9240,0.9620
i_bologna_1_2,illumination,611,563,9.67,0.5010,0.9231,0.9624,0.9738,1,1,1,0.4990,0.8330,0.8998,0.9499
i_bologna_1_3,illumination,590,519,3.15,0.9622,0.8814,0.9220,0.9407,1,1,1,0.0378,0.6793,0.8076,0.9038
i_bologna_1_4,illumination,613,525,3.21,0.8416,0.8597,0.8989,0.9217,1,1,1,0.1584,0.7195,0.8317,0.9158
i_bologna_1_5,illumination,603,534,3.25,1.2354,0.8872,0.9287,0.9486,1,1,1,0.0000,0.5882,0.7529,0.8765
i_bologna_1_6,illumination,615,521,3.34,0.0000,0.8472,0.9073,0.9285,1,1,1,1.0000,1.0000,1.0000,1.0000
i_books_1_2,illumination,619,580,3.44,0.1426,0.9354,0.9532,0.9580,1,1,1,0.8574,0.9525,0.9715,0.9857
i_books_1_3,illumination,756,700,3.52,0.1714,0.9220,0.9444,0.9550,1,1,1,0.8286,0.9429,0.9657,0.9829
i_books_1_4,illumination,775,727,3.41,0.0000,0.9406,0.9652,0.9729,1,1,1,1.0000,1.0000,1.0000,1.0000
i_books_1_5,illumination,783,728,3.42,0.0000,0.9349,0.9527,0.9553,1,1,1,1.0000,1.0000,1.0000,1.0000
i_books_1_6,illumination,688,633,3.36,0.0000,0.9201,0.9375,0.9462,1,1,1,1.0000,1.0000,1.0000,1.0000
i_boutique_1_2,illumination,1287,1183,4.09,0.3252,0.9114,0.9534,0.9611,1,1,1,0.6748,0.8916,0.9350,0.9675
i_boutique_1_3,illumination,1367,1173,4.46,0.4010,0.8537,0.9078,0.9393,1,1,1,0.5990,0.8663,0.9198,0.9599
i_boutique_1_4,illumination,1337,1151,5.38,0.4228,0.8519,0.9125,0.9484,1,1,1,0.5772,0.8591,0.9154,0.9577
i_boutique_1_5,illumination,1039,668,4.60,1.1997,0.6458,0.7247,0.7642,1,1,1,0.0000,0.6001,0.7601,0.8800
i_boutique_1_6,illumination,1015,649,4.62,0.6040,0.6246,0.7103,0.7576,1,1,1,0.3960,0.7987,0.8792,0.9396
i_bridger_1_2,illumination,1573,1374,10.97,0.4198,0.8506,0.9383,0.9752,1,1,1,0.5802,0.8601,0.9160,0.9580
i_bridger_1_3,illumination,1438,1185,4.35,0.4013,0.8136,0.9006,0.9395,1,1,1,0.5987,0.8662,0.9197,0.9599
i_bridger_1_4,illumination,1336,1148,4.21,0.3255,0.8548,0.9192,0.9603,1,1,1,0.6745,0.8915,0.9349,0.9675
i_bridger_1_5,illumination,1111,911,4.23,0.4983,0.8191,0.9073,0.9424,1,1,1,0.5017,0.8339,0.9003,0.9502
i_bridger_1_6,illumination,502,287,3.39,0.9043,0.5677,0.6833,0.7590,1,1,1,0.0957,0.6986,0.8191,0.9096
i_brooklyn_1_2,illumination,1513,1260,4.56,0.3221,0.8282,0.9042,0.9379,1,1,1,0.6779,0.8926,0.9356,0.9678
i_brooklyn_1_3,illumination,1609,1435,5.37,1.2764,0.8626,0.9472,0.9739,1,1,1,0.0000,0.5745,0.7447,0.8724
i_brooklyn_1_4,illumination,1348,1008,5.00,1.1254,0.7329,0.8353,0.8858,1,1,1,0.0000,0.6249,0.7749,0.8875
i_brooklyn_1_5,illumination,1643,1424,4.83,1.4987,0.8357,0.9288,0.9610,1,1,1,0.0000,0.5004,0.7003,0.8501
i_brooklyn_1_6,illumination,1541,1247,4.82,1.5811,0.7729,0.8864,0.9247,1,1,1,0.0000,0.4730,0.6838,0.8419
i_castle_1_2,illumination,1331,889,5.85,1.1701,0.6649,0.7498,0.8009,1,1,1,0.0000,0.6100,0.7660,0.8830
i_castle_1_3,illumination,1474,1222,4.72,0.4482,0.8270,0.8867,0.9213,1,1,1,0.5518,0.8506,0.9104,0.9552
i_castle_1_4,illumination,1290,1083,5.34,0.6996,0.8233,0.8899,0.9202,1,1,1,0.3004,0.7668,0.8601,0.9300
i_castle_1_5,illumination,1117,753,4.57,1.1146,0.6607,0.7457,0.7914,1,1,1,0.0000,0.6285,0.7771,0.8885
i_castle_1_6,illumination,1178,724,4.54,0.8204,0.6112,0.6961,0.7428,1,1,1,0.1796,0.7265,0.8359,0.9180
i_chestnuts_1_2,illumination,1164,1047,5.17,0.4135,0.8986,0.9381,0.9613,1,1,1,0.5865,0.8622,0.9173,0.9587
i_chestnuts_1_3,illumination,1147,1031,3.75,0.0000,0.8997,0.9364,0.9590,1,1,1,1.0000,1.0000,1.0000,1.0000
i_chestnuts_1_4,illumination,1122,979,3.97,0.0000,0.8752,0.9207,0.9519,1,1,1,1.0000,1.0000,1.0000,1.0000
i_chestnuts_1_5,illumination,1077,913,3.86,0.3458,0.8459,0.9081,0.9304,1,1,1,0.6542,0.8847,0.9308,0.9654
