PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
i_ajuntament_1_2,illumination,870,800,228.02,0.3914,0.9103,0.9529,0.9747,1,1,1,0.6086,0.8695,0.9217,0.9609
i_ajuntament_1_3,illumination,652,480,4.08,1.3874,0.7163,0.8328,0.8696,1,1,1,0.0000,0.5375,0.7225,0.8613
i_ajuntament_1_4,illumination,496,273,3.51,0.8498,0.5323,0.6391,0.6915,1,1,1,0.1502,0.7167,0.8300,0.9150
i_ajuntament_1_5,illumination,487,274,3.39,1.6529,0.5483,0.6530,0.7248,1,1,1,0.0000,0.4490,0.6694,0.8347
i_ajuntament_1_6,illumination,492,270,3.49,1.0560,0.5427,0.6484,0.7358,1,1,1,0.0000,0.6480,0.7888,0.8944
i_autannes_1_2,illumination,920,812,8.58,0.0000,0.8891,0.9315,0.9446,1,1,1,1.0000,1.0000,1.0000,1.0000
i_autannes_1_3,illumination,830,700,3.63,0.3499,0.8386,0.9084,0.9325,1,1,1,0.6501,0.8834,0.9300,0.9650
i_autannes_1_4,illumination,901,578,4.33,1.3498,0.6293,0.7614,0.8324,1,1,1,0.0000,0.5501,0.7300,0.8650
i_autannes_1_5,illumination,896,610,3.89,1.3260,0.6663,0.7779,0.8449,1,1,1,0.0000,0.5580,0.7348,0.8674
i_autannes_1_6,illumination,995,821,3.97,0.8884,0.8141,0.8884,0.9216,1,1,1,0.1116,0.7039,0.8223,0.9112
i_bologna_1_2,illumination,620,572,7.28,0.3481,0.9226,0.9548,0.9742,1,1,1,0.6519,0.8840,0.9304,0.9652
i_bologna_1_3,illumination,573,512,3.02,0.6458,0.8953,0.9389,0.9546,1,1,1,0.3542,0.7847,0.8708,0.9354
i_bologna_1_4,illumination,570,497,3.25,1.0996,0.8737,0.9193,0.9526,1,1,1,0.0000,0.6335,0.7801,0.8900
i_bologna_1_5,illumination,569,505,2.94,0.6262,0.8858,0.9385,0.9543,1,1,1,0.3738,0.7913,0.8748,0.9374
i_bologna_1_6,illumination,582,507,3.02,1.0019,0.8729,0.9296,0.9450,1,1,1,0.0000,0.6660,0.7996,0.8998
i_books_1_2,illumination,652,605,3.46,0.1296,0.9279,0.9525,0.9601,1,1,1,0.8704,0.9568,0.9741,0.9870
