PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
i_ajuntament_1_2,illumination,1086,1010,242.78,0.3484,0.9236,0.9650,0.9853,1,1,1,0.6516,0.8839,0.9303,0.9652
i_ajuntament_1_3,illumination,808,614,4.31,1.0269,0.7191,0.8750,0.9121,1,1,1,0.0000,0.6577,0.7946,0.8973
i_ajuntament_1_4,illumination,621,316,3.70,1.3398,0.4911,0.6457,0.7327,1,1,1,0.0000,0.5534,0.7320,0.8660
i_ajuntament_1_5,illumination,630,331,3.52,1.3172,0.5032,0.6571,0.7492,1,1,1,0.0000,0.5609,0.7366,0.8683
i_ajuntament_1_6,illumination,654,331,3.51,1.2114,0.5031,0.6407,0.7523,1,1,1,0.0000,0.5962,0.7577,0.8789
i_autannes_1_2,illumination,1105,1003,10.76,0.2691,0.9050,0.9511,0.9683,1,1,1,0.7309,0.9103,0.9462,0.9731
i_autannes_1_3,illumination,1034,882,3.72,0.0000,0.8588,0.9072,0.9410,1,1,1,1.0000,1.0000,1.0000,1.0000
i_autannes_1_4,illumination,1053,671,4.33,1.4194,0.6230,0.7882,0.8500,1,1,1,0.0000,0.5269,0.7161,0.8581
i_autannes_1_5,illumination,1069,706,4.62,1.3307,0.6614,0.7708,0.8279,1,1,1,0.0000,0.5564,0.7339,0.8669
i_autannes_1_6,illumination,1239,984,4.18,0.8212,0.7950,0.8789,0.9225,1,1,1,0.1788,0.7263,0.8358,0.9179
i_bologna_1_2,illumination,716,673,9.29,0.5387,0.9413,0.9735,0.9916,1,1,1,0.4613,0.8204,0.8923,0.9461
i_bologna_1_3,illumination,692,600,3.21,0.4071,0.8656,0.9321,0.9552,1,1,1,0.5929,0.8643,0.9186,0.9593
i_bologna_1_4,illumination,679,603,3.16,0.8879,0.8881,0.9455,0.9647,1,1,1,0.1121,0.7040,0.8224,0.9112
i_bologna_1_5,illumination,659,571,3.30,1.3924,0.8649,0.9226,0.9530,1,1,1,0.0000,0.5359,0.7215,0.8608
i_bologna_1_6,illumination,661,565,3.25,1.5889,0.8472,0.9123,0.9470,1,1,1,0.0000,0.4704,0.6822,0.8411
i_books_1_2,illumination,696,621,3.28,0.0000,0.8951,0.9282,0.9425,1,1,1,1.0000,1.0000,1.0000,1.0000
i_books_1_3,illumination,868,787,3.41,0.2946,0.8998,0.9309,0.9562,1,1,1,0.7054,0.9018,0.9411,0.9705
i_books_1_4,illumination,875,808,3.37,0.2877,0.9211,0.9451,0.9611,1,1,1,0.7123,0.9041,0.9425,0.9712
i_books_1_5,illumination,900,835,3.34,0.0000,0.9278,0.9522,0.9622,1,1,1,1.0000,1.0000,1.0000,1.0000
i_books_1_6,illumination,778,706,3.26,0.0000,0.9075,0.9242,0.9473,1,1,1,1.0000,1.0000,1.0000,1.0000
i_boutique_1_2,illumination,1388,1260,4.08,0.4452,0.8999,0.9445,0.9676,1,1,1,0.5548,0.8516,0.9110,0.9555
i_boutique_1_3,illumination,1433,1227,4.41,0.3516,0.8486,0.9267,0.9595,1,1,1,0.6484,0.8828,0.9297,0.9648
i_boutique_1_4,illumination,1435,1217,5.46,0.3892,0.8355,0.9157,0.9491,1,1,1,0.6108,0.8703,0.9222,0.9611
i_boutique_1_5,illumination,1087,677,4.83,0.6679,0.6145,0.7268,0.7884,1,1,1,0.3321,0.7774,0.8664,0.9332
i_boutique_1_6,illumination,1068,695,4.47,0.4953,0.6386,0.7285,0.7903,1,1,1,0.5047,0.8349,0.9009,0.9505
i_bridger_1_2,illumination,1542,1333,10.36,0.4655,0.8560,0.9481,0.9792,1,1,1,0.5345,0.8448,0.9069,0.9535
i_bridger_1_3,illumination,1411,1151,4.09,0.5136,0.8016,0.9029,0.9433,1,1,1,0.4864,0.8288,0.8973,0.9486
i_bridger_1_4,illumination,1291,1095,4.20,0.5370,0.8428,0.9311,0.9582,1,1,1,0.4630,0.8210,0.8926,0.9463
i_bridger_1_5,illumination,1054,857,3.93,1.0647,0.8017,0.9042,0.9658,1,1,1,0.0000,0.6451,0.7871,0.8935
i_bridger_1_6,illumination,384,231,3.11,2.5052,0.5833,0.6849,0.7500,1,1,1,0.0000,0.1649,0.4990,0.7495
i_brooklyn_1_2,illumination,1454,1174,4.47,0.5814,0.7999,0.8975,0.9470,1,1,1,0.4186,0.8062,0.8837,0.9419
i_brooklyn_1_3,illumination,1503,1362,4.76,1.2292,0.8856,0.9548,0.9854,1,1,1,0.0000,0.5903,0.7542,0.8771
i_brooklyn_1_4,illumination,1239,873,5.12,1.0024,0.6828,0.8119,0.8862,1,1,1,0.0000,0.6659,0.7995,0.8998
i_brooklyn_1_5,illumination,1502,1331,4.64,1.4226,0.8502,0.9427,0.9740,1,1,1,0.0000,0.5258,0.7155,0.8577
i_brooklyn_1_6,illumination,1418,1119,4.56,1.4503,0.7496,0.8843,0.9436,1,1,1,0.0000,0.5166,0.7099,0.8550
i_castle_1_2,illumination,1290,811,5.69,1.1507,0.6186,0.7333,0.8062,1,1,1,0.0000,0.6164,0.7699,0.8849
i_castle_1_3,illumination,1440,1187,5.35,0.3176,0.8250,0.9021,0.9333,1,1,1,0.6824,0.8941,0.9365,0.9682
i_castle_1_4,illumination,1284,1040,4.45,0.5584,0.7983,0.8769,0.9097,1,1,1,0.4416,0.8139,0.8883,0.9442
i_castle_1_5,illumination,967,617,3.99,0.6953,0.6184,0.7435,0.7973,1,1,1,0.3047,0.7682,0.8609,0.9305
i_castle_1_6,illumination,1085,654,4.88,0.7198,0.5935,0.7244,0.7705,1,1,1,0.2802,0.7601,0.8560,0.9280
i_chestnuts_1_2,illumination,1258,1129,3.98,0.1535,0.8935,0.9483,0.9746,1,1,1,0.8465,0.9488,0.9693,0.9847
i_chestnuts_1_3,illumination,1253,1103,3.91,0.0000,0.8827,0.9417,0.9673,1,1,1,1.0000,1.0000,1.0000,1.0000
i_chestnuts_1_4,illumination,1253,1094,4.42,0.1162,0.8683,0.9338,0.9705,1,1,1,0.8838,0.9613,0.9768,0.9884
i_chestnuts_1_5,illumination,1170,1000,3.88,0.1609,0.8538,0.9214,0.9496,1,1,1,0.8391,0.9464,0.9678,0.9839
i_chestnuts_1_6,illumination,1057,876,4.02,0.4091,0.8184,0.8921,0.9300,1,1,1,0.5909,0.8636,0.9182,0.9591
i_crownday_1_2,illumination,1112,788,7.70,0.9165,0.7023,0.8237,0.9002,1,1,1,0.0835,0.6945,0.8167,0.9083
i_crownday_1_3,illumination,1233,972,4.39,1.1777,0.7843,0.8759,0.9408,1,1,1,0.0000,0.6074,0.7645,0.8822
i_crownday_1_4,illumination,1287,1067,4.35,0.8232,0.8275,0.9052,0.9518,1,1,1,0.1768,0.7256,0.8354,0.9177
i_crownday_1_5,illumination,1355,1206,4.09,0.0000,0.8915,0.9387,0.9683,1,1,1,1.0000,1.0000,1.0000,1.0000
i_crownday_1_6,illumination,1109,771,4.01,0.4360,0.6889,0.8088,0.8918,1,1,1,0.5640,0.8547,0.9128,0.9564
i_dome_1_2,illumination,1361,1272,4.07,0.0000,0.9368,0.9618,0.9743,1,1,1,1.0000,1.0000,1.0000,1.0000
