PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
i_ajuntament_1_2,illumination,763,710,239.68,0.2422,0.9266,0.9541,0.9738,1,1,1,0.7578,0.9193,0.9516,0.9758
i_ajuntament_1_3,illumination,583,474,6.64,1.1649,0.7839,0.8748,0.9074,1,1,1,0.0000,0.6117,0.7670,0.8835
i_ajuntament_1_4,illumination,440,225,6.46,1.3571,0.4977,0.6068,0.6614,1,1,1,0.0000,0.5476,0.7286,0.8643
i_ajuntament_1_5,illumination,440,234,6.42,0.9989,0.5205,0.6250,0.7182,1,1,1,0.0011,0.6670,0.8002,0.9001
i_ajuntament_1_6,illumination,464,249,6.43,2.1670,0.5259,0.6358,0.6983,1,1,1,0.0000,0.2777,0.5666,0.7833
i_autannes_1_2,illumination,626,552,15.60,0.0000,0.8850,0.9345,0.9601,1,1,1,1.0000,1.0000,1.0000,1.0000
i_autannes_1_3,illumination,601,499,6.80,0.4508,0.8270,0.8869,0.9235,1,1,1,0.5492,0.8497,0.9098,0.9549
i_autannes_1_4,illumination,694,513,7.45,1.4427,0.7277,0.8617,0.9049,1,1,1,0.0000,0.5191,0.7115,0.8557
i_autannes_1_5,illumination,689,508,7.26,2.3904,0.7257,0.8331,0.8839,1,1,1,0.0000,0.2032,0.5219,0.7610
i_autannes_1_6,illumination,645,532,6.64,1.0924,0.8217,0.9101,0.9364,1,1,1,0.0000,0.6359,0.7815,0.8908
i_bologna_1_2,illumination,942,881,13.07,0.1750,0.9352,0.9713,0.9841,1,1,1,0.8250,0.9417,0.9650,0.9825
i_bologna_1_3,illumination,872,782,6.46,0.5337,0.8911,0.9427,0.9679,1,1,1,0.4663,0.8221,0.8933,0.9466
i_bologna_1_4,illumination,904,807,6.60,0.7780,0.8916,0.9469,0.9657,1,1,1,0.2220,0.7407,0.8444,0.9222
i_bologna_1_5,illumination,883,800,6.68,0.7727,0.9071,0.9604,0.9717,1,1,1,0.2273,0.7424,0.8455,0.9227
i_bologna_1_6,illumination,865,763,6.88,0.6847,0.8740,0.9434,0.9665,1,1,1,0.3153,0.7718,0.8631,0.9315
i_books_1_2,illumination,577,546,9.77,0.2186,0.9463,0.9671,0.9688,1,1,1,0.7814,0.9271,0.9563,0.9781
i_books_1_3,illumination,702,650,6.44,0.0000,0.9274,0.9601,0.9815,1,1,1,1.0000,1.0000,1.0000,1.0000
i_books_1_4,illumination,717,665,6.70,0.1689,0.9261,0.9596,0.9861,1,1,1,0.8311,0.9437,0.9662,0.9831
i_books_1_5,illumination,717,671,6.48,0.0000,0.9358,0.9651,0.9749,1,1,1,1.0000,1.0000,1.0000,1.0000
i_books_1_6,illumination,656,612,6.04,0.3344,0.9314,0.9558,0.9634,1,1,1,0.6656,0.8885,0.9331,0.9666
i_boutique_1_2,illumination,971,886,7.30,0.0000,0.9156,0.9485,0.9609,1,1,1,1.0000,1.0000,1.0000,1.0000
i_boutique_1_3,illumination,1009,909,7.88,0.3212,0.8831,0.9366,0.9623,1,1,1,0.6788,0.8929,0.9358,0.9679
i_boutique_1_4,illumination,997,889,7.75,0.4029,0.8726,0.9338,0.9468,1,1,1,0.5971,0.8657,0.9194,0.9597
i_boutique_1_5,illumination,849,653,8.84,0.5755,0.7562,0.8528,0.8857,1,1,1,0.4245,0.8082,0.8849,0.9424
i_boutique_1_6,illumination,830,648,9.39,0.4794,0.7627,0.8639,0.8976,1,1,1,0.5206,0.8402,0.9041,0.9521
i_bridger_1_2,illumination,1152,1007,15.91,0.4620,0.8576,0.9392,0.9722,1,1,1,0.5380,0.8460,0.9076,0.9538
i_bridger_1_3,illumination,1110,949,9.30,0.5218,0.8450,0.9315,0.9577,1,1,1,0.4782,0.8261,0.8956,0.9478
i_bridger_1_4,illumination,977,851,7.83,0.2965,0.8659,0.9304,0.9560,1,1,1,0.7035,0.9012,0.9407,0.9704
i_bridger_1_5,illumination,847,710,6.84,0.6094,0.8347,0.9138,0.9469,1,1,1,0.3906,0.7969,0.8781,0.9391
i_bridger_1_6,illumination,470,313,6.75,1.6958,0.6511,0.7574,0.8298,1,1,1,0.0000,0.4347,0.6608,0.8304
i_brooklyn_1_2,illumination,1353,1179,9.18,0.3123,0.8729,0.9372,0.9638,1,1,1,0.6877,0.8959,0.9375,0.9688
i_brooklyn_1_3,illumination,1392,1271,10.23,1.2426,0.8901,0.9540,0.9792,1,1,1,0.0000,0.5858,0.7515,0.8757
i_brooklyn_1_4,illumination,1155,928,9.57,1.0621,0.7991,0.8840,0.9229,1,1,1,0.0000,0.6460,0.7876,0.8938
i_brooklyn_1_5,illumination,1359,1230,8.68,1.4475,0.8756,0.9566,0.9823,1,1,1,0.0000,0.5175,0.7105,0.8553
i_brooklyn_1_6,illumination,1302,1118,8.65,1.4852,0.8295,0.9255,0.9524,1,1,1,0.0000,0.5049,0.7030,0.8515
i_castle_1_2,illumination,1418,1111,14.07,1.0288,0.7715,0.8590,0.9027,1,1,1,0.0000,0.6571,0.7942,0.8971
