PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
i_ajuntament_1_2,illumination,2183,2169,311.83,0.1565,0.9927,0.9963,0.9973,1,1,1,0.8435,0.9478,0.9687,0.9843
i_ajuntament_1_3,illumination,2119,2040,33.79,0.7298,0.9420,0.9788,0.9915,1,1,1,0.2702,0.7567,0.8540,0.9270
i_ajuntament_1_4,illumination,1736,1449,32.73,0.3346,0.8237,0.9171,0.9585,1,1,1,0.6654,0.8885,0.9331,0.9665
i_ajuntament_1_5,illumination,1738,1470,32.39,0.7189,0.8205,0.9114,0.9574,1,1,1,0.2811,0.7604,0.8562,0.9281
i_ajuntament_1_6,illumination,1790,1540,32.54,0.7230,0.8408,0.9279,0.9648,1,1,1,0.2770,0.7590,0.8554,0.9277
i_autannes_1_2,illumination,1579,1571,34.44,0.1710,0.9924,0.9994,1.0000,1,1,1,0.8290,0.9430,0.9658,0.9829
i_autannes_1_3,illumination,1567,1547,30.25,0.1038,0.9872,0.9930,0.9974,1,1,1,0.8962,0.9654,0.9792,0.9896
i_autannes_1_4,illumination,1379,1321,28.07,0.9539,0.9529,0.9775,0.9848,1,1,1,0.0461,0.6820,0.8092,0.9046
i_autannes_1_5,illumination,1336,1226,28.32,0.3053,0.9162,0.9401,0.9581,1,1,1,0.6947,0.8982,0.9389,0.9695
i_autannes_1_6,illumination,1459,1399,27.84,0.1320,0.9582,0.9712,0.9808,1,1,1,0.8680,0.9560,0.9736,0.9868
i_bologna_1_2,illumination,952,938,27.13,0.2780,0.9842,0.9884,0.9905,1,1,1,0.7220,0.9073,0.9444,0.9722
i_bologna_1_3,illumination,905,894,24.09,0.4140,0.9878,0.9934,0.9945,1,1,1,0.5860,0.8620,0.9172,0.9586
i_bologna_1_4,illumination,907,878,23.29,0.7847,0.9647,0.9724,0.9735,1,1,1,0.2153,0.7384,0.8431,0.9215
i_bologna_1_5,illumination,878,870,22.96,0.4505,0.9909,0.9943,0.9954,1,1,1,0.5495,0.8498,0.9099,0.9550
