PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
i_ajuntament_1_2,illumination,1352,1154,248.39,0.5984,0.8417,0.9408,0.9741,1,1,1,0.4016,0.8005,0.8803,0.9402
i_ajuntament_1_3,illumination,969,718,13.92,0.7567,0.7276,0.8751,0.9484,1,1,1,0.2433,0.7478,0.8487,0.9243
i_ajuntament_1_4,illumination,734,419,11.50,1.4888,0.5627,0.7411,0.8624,1,1,1,0.0000,0.5037,0.7022,0.8511
i_ajuntament_1_5,illumination,760,423,11.11,1.6417,0.5382,0.7289,0.8395,1,1,1,0.0000,0.4528,0.6717,0.8358
i_ajuntament_1_6,illumination,768,437,11.11,1.3651,0.5651,0.7487,0.8633,1,1,1,0.0000,0.5450,0.7270,0.8635
i_autannes_1_2,illumination,1233,1101,20.88,0.2357,0.8921,0.9740,0.9935,1,1,1,0.7643,0.9214,0.9529,0.9764
i_autannes_1_3,illumination,1099,929,10.99,0.2658,0.8453,0.9490,0.9809,1,1,1,0.7342,0.9114,0.9468,0.9734
i_autannes_1_4,illumination,783,499,10.18,1.4975,0.6194,0.8225,0.9208,1,1,1,0.0000,0.5008,0.7005,0.8503
i_autannes_1_5,illumination,835,551,10.32,1.3488,0.6359,0.8168,0.8982,1,1,1,0.0000,0.5504,0.7302,0.8651
i_autannes_1_6,illumination,1020,772,9.72,0.8043,0.7431,0.8824,0.9451,1,1,1,0.1957,0.7319,0.8391,0.9196
i_bologna_1_2,illumination,779,723,18.73,0.2418,0.9255,0.9782,0.9936,1,1,1,0.7582,0.9194,0.9516,0.9758
i_bologna_1_3,illumination,715,629,9.18,0.5755,0.8671,0.9427,0.9818,1,1,1,0.4245,0.8082,0.8849,0.9424
i_bologna_1_4,illumination,679,595,9.31,0.7887,0.8601,0.9426,0.9823,1,1,1,0.2113,0.7371,0.8423,0.9211
i_bologna_1_5,illumination,649,545,9.36,0.8116,0.8336,0.9276,0.9692,1,1,1,0.1884,0.7295,0.8377,0.9188
i_bologna_1_6,illumination,607,518,9.38,0.9120,0.8451,0.9325,0.9819,1,1,1,0.0880,0.6960,0.8176,0.9088
i_books_1_2,illumination,845,701,12.26,0.5621,0.8260,0.9148,0.9515,1,1,1,0.4379,0.8126,0.8876,0.9438
i_books_1_3,illumination,892,753,11.85,0.1529,0.8352,0.9170,0.9608,1,1,1,0.8471,0.9490,0.9694,0.9847
i_books_1_4,illumination,959,825,11.32,0.2655,0.8551,0.9218,0.9593,1,1,1,0.7345,0.9115,0.9469,0.9735
i_books_1_5,illumination,1016,854,10.99,0.3975,0.8327,0.9222,0.9557,1,1,1,0.6025,0.8675,0.9205,0.9602
