PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
i_ajuntament_1_2,illumination,70,66,178.98,0.5143,0.9429,0.9429,0.9714,1,1,1,0.4857,0.8286,0.8971,0.9486
i_ajuntament_1_3,illumination,13,4,36.54,315.6082,0.3077,0.3077,0.3077,0,0,0,0.0000,0.0000,0.0000,0.0000
i_ajuntament_1_4,illumination,4,0,32.87,inf,0.2500,0.2500,0.2500,0,0,0,0.0000,0.0000,0.0000,0.0000
i_ajuntament_1_5,illumination,6,4,31.94,307.2767,0.1667,0.1667,0.1667,0,0,0,0.0000,0.0000,0.0000,0.0000
i_ajuntament_1_6,illumination,9,4,29.40,435.4901,0.1111,0.1111,0.1111,0,0,0,0.0000,0.0000,0.0000,0.0000
i_autannes_1_2,illumination,26,25,29.62,1.1610,0.9615,1.0000,1.0000,1,1,1,0.0000,0.6130,0.7678,0.8839
i_autannes_1_3,illumination,21,15,29.64,6.1668,0.7143,0.7143,0.7143,0,0,1,0.0000,0.0000,0.0000,0.3833
i_autannes_1_4,illumination,11,5,30.93,5.6466,0.3636,0.4545,0.4545,0,0,1,0.0000,0.0000,0.0000,0.4353
i_autannes_1_5,illumination,7,4,30.65,349.0529,0.4286,0.4286,0.4286,0,0,0,0.0000,0.0000,0.0000,0.0000
i_autannes_1_6,illumination,13,10,28.28,3.7617,0.7692,0.7692,0.7692,0,1,1,0.0000,0.0000,0.2477,0.6238
i_bologna_1_2,illumination,17,15,23.04,2.3518,0.8824,0.8824,0.8824,1,1,1,0.0000,0.2161,0.5296,0.7648
i_bologna_1_3,illumination,18,15,23.80,1.1037,0.8333,0.8333,0.8333,1,1,1,0.0000,0.6321,0.7793,0.8896
i_bologna_1_4,illumination,15,11,23.98,1.3911,0.7333,0.7333,0.7333,1,1,1,0.0000,0.5363,0.7218,0.8609
i_bologna_1_5,illumination,11,9,25.23,4.3951,0.8182,0.8182,0.8182,0,1,1,0.0000,0.0000,0.1210,0.5605
i_bologna_1_6,illumination,17,9,27.33,13.2368,0.5294,0.5294,0.5294,0,0,0,0.0000,0.0000,0.0000,0.0000
i_books_1_2,illumination,46,45,29.57,0.1862,0.9783,0.9783,0.9783,1,1,1,0.8138,0.9379,0.9628,0.9814
i_books_1_3,illumination,74,66,34.60,0.7178,0.8919,0.9054,0.9189,1,1,1,0.2822,0.7607,0.8564,0.9282
i_books_1_4,illumination,82,72,31.68,0.1396,0.8780,0.8902,0.8902,1,1,1,0.8604,0.9535,0.9721,0.9860
i_books_1_5,illumination,85,77,31.02,0.1179,0.9059,0.9059,0.9059,1,1,1,0.8821,0.9607,0.9764,0.9882
i_books_1_6,illumination,69,63,30.08,0.3699,0.9130,0.9130,0.9130,1,1,1,0.6301,0.8767,0.9260,0.9630
i_boutique_1_2,illumination,158,141,59.86,0.3816,0.8861,0.8924,0.8987,1,1,1,0.6184,0.8728,0.9237,0.9618
i_boutique_1_3,illumination,76,49,69.32,0.7311,0.6447,0.6447,0.6711,1,1,1,0.2689,0.7563,0.8538,0.9269
i_boutique_1_4,illumination,73,52,59.91,0.6933,0.7123,0.7260,0.7397,1,1,1,0.3067,0.7689,0.8613,0.9307
i_boutique_1_5,illumination,37,5,64.51,433.8800,0.1622,0.1622,0.1622,0,0,0,0.0000,0.0000,0.0000,0.0000
i_boutique_1_6,illumination,41,7,62.31,1.1672,0.1707,0.1707,0.1707,1,1,1,0.0000,0.6109,0.7666,0.8833
i_bridger_1_2,illumination,50,39,33.28,0.9836,0.7600,0.8000,0.8200,1,1,1,0.0164,0.6721,0.8033,0.9016
i_bridger_1_3,illumination,44,35,30.57,1.0691,0.7955,0.7955,0.7955,1,1,1,0.0000,0.6436,0.7862,0.8931
i_bridger_1_4,illumination,40,22,32.12,1.3325,0.5500,0.5500,0.5500,1,1,1,0.0000,0.5558,0.7335,0.8667
i_bridger_1_5,illumination,22,15,23.80,1.0671,0.6818,0.6818,0.6818,1,1,1,0.0000,0.6443,0.7866,0.8933
i_bridger_1_6,illumination,2,0,21.72,inf,0.5000,0.5000,0.5000,0,0,0,0.0000,0.0000,0.0000,0.0000
i_brooklyn_1_2,illumination,61,45,39.18,0.6395,0.7377,0.7377,0.7541,1,1,1,0.3605,0.7868,0.8721,0.9361
i_brooklyn_1_3,illumination,79,70,39.14,1.3865,0.8987,0.8987,0.8987,1,1,1,0.0000,0.5378,0.7227,0.8613
i_brooklyn_1_4,illumination,29,14,33.27,0.9505,0.4483,0.4828,0.5172,1,1,1,0.0495,0.6832,0.8099,0.9050
i_brooklyn_1_5,illumination,81,64,37.56,1.5770,0.7778,0.8025,0.8272,1,1,1,0.0000,0.4743,0.6846,0.8423
i_brooklyn_1_6,illumination,55,32,36.10,1.4853,0.5636,0.6182,0.6364,1,1,1,0.0000,0.5049,0.7029,0.8515
i_castle_1_2,illumination,27,6,40.68,34.4673,0.2222,0.2222,0.2222,0,0,0,0.0000,0.0000,0.0000,0.0000
i_castle_1_3,illumination,44,26,37.37,1.8132,0.5682,0.5909,0.5909,1,1,1,0.0000,0.3956,0.6374,0.8187
i_castle_1_4,illumination,27,12,33.10,0.5829,0.4444,0.4444,0.4444,1,1,1,0.4171,0.8057,0.8834,0.9417
i_castle_1_5,illumination,22,5,32.95,10.9757,0.1818,0.1818,0.1818,0,0,0,0.0000,0.0000,0.0000,0.0000
i_castle_1_6,illumination,19,4,36.75,239.6485,0.1579,0.2105,0.2105,0,0,0,0.0000,0.0000,0.0000,0.0000
i_chestnuts_1_2,illumination,110,104,44.93,0.4159,0.9455,0.9455,0.9455,1,1,1,0.5841,0.8614,0.9168,0.9584
i_chestnuts_1_3,illumination,129,122,44.36,0.1836,0.9457,0.9457,0.9457,1,1,1,0.8164,0.9388,0.9633,0.9816
