PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
i_ajuntament_1_2,illumination,354,301,132.58,0.5768,0.8475,0.8616,0.8672,1,1,1,0.4232,0.8077,0.8846,0.9423
i_ajuntament_1_3,illumination,150,38,30.17,2.1314,0.2533,0.2667,0.2800,1,1,1,0.0000,0.2895,0.5737,0.7869
i_ajuntament_1_4,illumination,99,8,32.74,296.9566,0.0909,0.0909,0.1010,0,0,0,0.0000,0.0000,0.0000,0.0000
i_ajuntament_1_5,illumination,106,7,26.57,368.1896,0.0660,0.0755,0.0755,0,0,0,0.0000,0.0000,0.0000,0.0000
i_ajuntament_1_6,illumination,106,6,29.06,347.9654,0.0660,0.0660,0.0660,0,0,0,0.0000,0.0000,0.0000,0.0000
i_autannes_1_2,illumination,107,73,23.17,1.7618,0.6822,0.7103,0.7103,1,1,1,0.0000,0.4127,0.6476,0.8238
i_autannes_1_3,illumination,96,52,23.08,2.0583,0.5521,0.5625,0.5625,1,1,1,0.0000,0.3139,0.5883,0.7942
i_autannes_1_4,illumination,87,20,23.19,4.3023,0.2184,0.2644,0.2644,0,1,1,0.0000,0.0000,0.1395,0.5698
i_autannes_1_5,illumination,84,21,23.41,2.0883,0.2381,0.2738,0.2738,1,1,1,0.0000,0.3039,0.5823,0.7912
i_autannes_1_6,illumination,68,41,23.66,0.7798,0.6029,0.6176,0.6471,1,1,1,0.2202,0.7401,0.8440,0.9220
i_bologna_1_2,illumination,107,78,22.50,0.5008,0.7290,0.7383,0.7383,1,1,1,0.4992,0.8331,0.8998,0.9499
i_bologna_1_3,illumination,94,60,22.49,0.4642,0.6383,0.6383,0.6383,1,1,1,0.5358,0.8453,0.9072,0.9536
i_bologna_1_4,illumination,93,51,22.00,1.4964,0.5484,0.5591,0.5591,1,1,1,0.0000,0.5012,0.7007,0.8504
i_bologna_1_5,illumination,100,51,21.61,1.8840,0.5100,0.5200,0.5200,1,1,1,0.0000,0.3720,0.6232,0.8116
i_bologna_1_6,illumination,92,50,22.82,0.9596,0.5435,0.5435,0.5435,1,1,1,0.0404,0.6801,0.8081,0.9040
i_books_1_2,illumination,170,153,25.06,0.5177,0.9000,0.9059,0.9176,1,1,1,0.4823,0.8274,0.8965,0.9482
i_books_1_3,illumination,271,228,22.92,0.2511,0.8413,0.8524,0.8598,1,1,1,0.7489,0.9163,0.9498,0.9749
i_books_1_4,illumination,290,247,26.26,0.1159,0.8517,0.8552,0.8655,1,1,1,0.8841,0.9614,0.9768,0.9884
i_books_1_5,illumination,287,258,28.02,0.3576,0.8990,0.9059,0.9094,1,1,1,0.6424,0.8808,0.9285,0.9642
i_books_1_6,illumination,217,192,21.94,0.7427,0.8848,0.8848,0.8894,1,1,1,0.2573,0.7524,0.8515,0.9257
i_boutique_1_2,illumination,704,559,29.63,0.2691,0.7926,0.7983,0.8068,1,1,1,0.7309,0.9103,0.9462,0.9731
i_boutique_1_3,illumination,606,310,29.79,0.5564,0.5083,0.5198,0.5248,1,1,1,0.4436,0.8145,0.8887,0.9444
i_boutique_1_4,illumination,569,297,29.66,0.6481,0.5149,0.5378,0.5413,1,1,1,0.3519,0.7840,0.8704,0.9352
i_boutique_1_5,illumination,467,66,30.34,0.8882,0.1392,0.1413,0.1499,1,1,1,0.1118,0.7039,0.8224,0.9112
i_boutique_1_6,illumination,448,58,29.94,1.3935,0.1250,0.1295,0.1339,1,1,1,0.0000,0.5355,0.7213,0.8606
i_bridger_1_2,illumination,422,259,19.17,0.4617,0.5995,0.6256,0.6398,1,1,1,0.5383,0.8461,0.9077,0.9538
i_bridger_1_3,illumination,347,189,24.17,0.6134,0.5418,0.5706,0.5764,1,1,1,0.3866,0.7955,0.8773,0.9387
i_bridger_1_4,illumination,320,163,24.36,0.4132,0.5094,0.5344,0.5375,1,1,1,0.5868,0.8623,0.9174,0.9587
i_bridger_1_5,illumination,135,64,16.86,1.7063,0.4741,0.4815,0.4815,1,1,1,0.0000,0.4312,0.6587,0.8294
i_bridger_1_6,illumination,21,7,15.78,282.7691,0.2857,0.2857,0.2857,0,0,0,0.0000,0.0000,0.0000,0.0000
i_brooklyn_1_2,illumination,367,211,24.37,0.5510,0.5749,0.5940,0.6076,1,1,1,0.4490,0.8163,0.8898,0.9449
i_brooklyn_1_3,illumination,414,322,23.69,1.1455,0.7729,0.7995,0.8140,1,1,1,0.0000,0.6182,0.7709,0.8855
i_brooklyn_1_4,illumination,249,93,23.87,2.0277,0.3655,0.3896,0.4177,1,1,1,0.0000,0.3241,0.5945,0.7972
i_brooklyn_1_5,illumination,451,322,25.26,1.5107,0.7051,0.7384,0.7539,1,1,1,0.0000,0.4964,0.6979,0.8489
