PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
i_ajuntament_1_2,illumination,3213,3176,242.57,1.7132,0.9144,0.9960,0.9997,1,1,1,0.0000,0.4289,0.6574,0.8287
i_ajuntament_1_3,illumination,1850,1743,12.95,1.3876,0.8914,0.9757,0.9849,1,1,1,0.0000,0.5375,0.7225,0.8612
i_ajuntament_1_4,illumination,1015,899,13.20,1.7514,0.8148,0.9330,0.9537,1,1,1,0.0000,0.4162,0.6497,0.8249
i_ajuntament_1_5,illumination,1095,960,13.04,1.4017,0.8100,0.9306,0.9525,1,1,1,0.0000,0.5328,0.7197,0.8598
i_ajuntament_1_6,illumination,1156,990,13.05,1.3574,0.8010,0.9170,0.9472,1,1,1,0.0000,0.5475,0.7285,0.8643
i_autannes_1_2,illumination,2122,2107,22.75,1.3414,0.9180,0.9981,1.0000,1,1,1,0.0000,0.5529,0.7317,0.8659
i_autannes_1_3,illumination,1773,1742,12.92,1.3854,0.9171,0.9938,0.9989,1,1,1,0.0000,0.5382,0.7229,0.8615
i_autannes_1_4,illumination,678,612,12.65,1.4119,0.8392,0.9499,0.9690,1,1,1,0.0000,0.5294,0.7176,0.8588
i_autannes_1_5,illumination,698,639,11.29,1.6129,0.8381,0.9370,0.9585,1,1,1,0.0000,0.4624,0.6774,0.8387
i_autannes_1_6,illumination,1311,1262,13.46,1.7565,0.8841,0.9718,0.9924,1,1,1,0.0000,0.4145,0.6487,0.8243
i_bologna_1_2,illumination,1579,1569,35.19,1.2698,0.9595,0.9994,0.9994,1,1,1,0.0000,0.5767,0.7460,0.8730
i_bologna_1_3,illumination,1318,1294,13.01,1.3355,0.9492,0.9879,0.9947,1,1,1,0.0000,0.5548,0.7329,0.8665
i_bologna_1_4,illumination,1272,1251,12.17,1.6104,0.9520,0.9921,0.9969,1,1,1,0.0000,0.4632,0.6779,0.8390
i_bologna_1_5,illumination,1076,1033,13.15,1.6013,0.9266,0.9777,0.9916,1,1,1,0.0000,0.4662,0.6797,0.8399
i_bologna_1_6,illumination,1044,1001,12.79,1.4431,0.9148,0.9732,0.9828,1,1,1,0.0000,0.5190,0.7114,0.8557
i_books_1_2,illumination,1177,1138,12.83,1.2842,0.9031,0.9839,0.9898,1,1,1,0.0000,0.5719,0.7432,0.8716
i_books_1_3,illumination,1501,1458,13.26,1.4020,0.9081,0.9780,0.9907,1,1,1,0.0000,0.5327,0.7196,0.8598
i_books_1_4,illumination,1637,1600,12.99,1.4810,0.9078,0.9884,0.9982,1,1,1,0.0000,0.5063,0.7038,0.8519
i_books_1_5,illumination,1603,1566,12.97,1.4979,0.8971,0.9888,0.9963,1,1,1,0.0000,0.5007,0.7004,0.8502
i_books_1_6,illumination,1177,1121,12.46,1.3886,0.8887,0.9652,0.9856,1,1,1,0.0000,0.5371,0.7223,0.8611
i_boutique_1_2,illumination,3006,2922,12.44,1.9007,0.8583,0.9787,0.9963,1,1,1,0.0000,0.3664,0.6199,0.8099
i_boutique_1_3,illumination,2863,2730,13.08,1.5711,0.8784,0.9797,0.9951,1,1,1,0.0000,0.4763,0.6858,0.8429
i_boutique_1_4,illumination,2977,2836,13.40,1.7646,0.8609,0.9731,0.9923,1,1,1,0.0000,0.4118,0.6471,0.8235
i_boutique_1_5,illumination,1582,1319,12.93,2.3663,0.7320,0.8906,0.9520,1,1,1,0.0000,0.2112,0.5267,0.7634
i_boutique_1_6,illumination,1481,1245,12.93,2.2227,0.7184,0.8798,0.9365,1,1,1,0.0000,0.2591,0.5555,0.7777
i_bridger_1_2,illumination,2535,2479,28.25,1.9170,0.8564,0.9846,0.9980,1,1,1,0.0000,0.3610,0.6166,0.8083
i_bridger_1_3,illumination,2111,2031,12.29,1.2943,0.9218,0.9811,0.9910,1,1,1,0.0000,0.5686,0.7411,0.8706
i_bridger_1_4,illumination,2248,2186,13.06,1.7815,0.8981,0.9818,0.9960,1,1,1,0.0000,0.4062,0.6437,0.8218
i_bridger_1_5,illumination,1992,1912,11.84,1.5276,0.9001,0.9859,0.9945,1,1,1,0.0000,0.4908,0.6945,0.8472
i_bridger_1_6,illumination,973,851,11.17,1.5337,0.7934,0.9260,0.9661,1,1,1,0.0000,0.4888,0.6933,0.8466
i_brooklyn_1_2,illumination,1952,1814,12.43,1.5382,0.8730,0.9585,0.9785,1,1,1,0.0000,0.4873,0.6924,0.8462
i_brooklyn_1_3,illumination,2819,2769,12.82,2.2064,0.8404,0.9823,0.9982,1,1,1,0.0000,0.2645,0.5587,0.7794
