PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
i_ajuntament_1_2,illumination,2211,1858,327.64,0.3947,0.8372,0.9195,0.9552,1,1,1,0.6053,0.8684,0.9211,0.9605
i_ajuntament_1_3,illumination,1666,1203,34.21,1.0561,0.7125,0.8517,0.9226,1,1,1,0.0000,0.6480,0.7888,0.8944
i_ajuntament_1_4,illumination,1300,640,36.63,1.4977,0.4985,0.6823,0.7831,1,1,1,0.0000,0.5008,0.7005,0.8502
i_ajuntament_1_5,illumination,1263,697,34.02,1.2626,0.5566,0.7055,0.8044,1,1,1,0.0000,0.5791,0.7475,0.8737
i_ajuntament_1_6,illumination,1391,756,33.89,1.0250,0.5399,0.7096,0.8023,1,1,1,0.0000,0.6583,0.7950,0.8975
i_autannes_1_2,illumination,1968,1802,40.74,0.3470,0.9141,0.9685,0.9863,1,1,1,0.6530,0.8843,0.9306,0.9653
i_autannes_1_3,illumination,1831,1593,31.53,0.4563,0.8684,0.9448,0.9672,1,1,1,0.5437,0.8479,0.9087,0.9544
i_autannes_1_4,illumination,1226,717,28.58,1.3576,0.5677,0.7365,0.8254,1,1,1,0.0000,0.5475,0.7285,0.8642
i_autannes_1_5,illumination,1255,775,28.72,1.3272,0.6127,0.7618,0.8502,1,1,1,0.0000,0.5576,0.7346,0.8673
i_autannes_1_6,illumination,1627,1207,30.31,0.6288,0.7406,0.8556,0.9146,1,1,1,0.3712,0.7904,0.8742,0.9371
i_bologna_1_2,illumination,1108,1020,32.23,0.5104,0.9206,0.9567,0.9801,1,1,1,0.4896,0.8299,0.8979,0.9490
i_bologna_1_3,illumination,1028,898,22.22,0.2791,0.8745,0.9358,0.9708,1,1,1,0.7209,0.9070,0.9442,0.9721
i_bologna_1_4,illumination,967,798,21.82,1.2364,0.8201,0.9038,0.9524,1,1,1,0.0000,0.5879,0.7527,0.8764
i_bologna_1_5,illumination,888,695,21.52,1.5869,0.7736,0.8829,0.9471,1,1,1,0.0000,0.4710,0.6826,0.8413
i_bologna_1_6,illumination,857,670,21.03,1.4385,0.7725,0.8810,0.9428,1,1,1,0.0000,0.5205,0.7123,0.8562
i_books_1_2,illumination,1212,966,24.94,0.4100,0.7921,0.8655,0.9018,1,1,1,0.5900,0.8633,0.9180,0.9590
i_books_1_3,illumination,1316,1092,26.18,0.5572,0.8313,0.9073,0.9377,1,1,1,0.4428,0.8143,0.8886,0.9443
i_books_1_4,illumination,1400,1173,30.14,0.4634,0.8393,0.9207,0.9507,1,1,1,0.5366,0.8455,0.9073,0.9537
i_books_1_5,illumination,1439,1247,27.27,0.2351,0.8659,0.9236,0.9465,1,1,1,0.7649,0.9216,0.9530,0.9765
i_books_1_6,illumination,1366,1087,26.05,0.3365,0.7965,0.8675,0.9100,1,1,1,0.6635,0.8878,0.9327,0.9663
i_boutique_1_2,illumination,2182,1961,35.61,0.5860,0.8886,0.9583,0.9840,1,1,1,0.4140,0.8047,0.8828,0.9414
i_boutique_1_3,illumination,2175,1888,35.26,0.6977,0.8621,0.9503,0.9770,1,1,1,0.3023,0.7674,0.8605,0.9302
i_boutique_1_4,illumination,2223,1929,36.10,0.5591,0.8637,0.9456,0.9780,1,1,1,0.4409,0.8136,0.8882,0.9441
i_boutique_1_5,illumination,1571,1021,32.12,0.5914,0.6384,0.7919,0.8689,1,1,1,0.4086,0.8029,0.8817,0.9409
i_boutique_1_6,illumination,1541,992,31.33,0.3386,0.6366,0.7683,0.8475,1,1,1,0.6614,0.8871,0.9323,0.9661
i_bridger_1_2,illumination,2127,1882,47.90,0.4155,0.8806,0.9638,0.9901,1,1,1,0.5845,0.8615,0.9169,0.9585
i_bridger_1_3,illumination,1875,1544,32.74,0.5108,0.8171,0.9168,0.9616,1,1,1,0.4892,0.8297,0.8978,0.9489
i_bridger_1_4,illumination,1927,1612,31.88,0.7307,0.8376,0.9315,0.9761,1,1,1,0.2693,0.7564,0.8539,0.9269
i_bridger_1_5,illumination,1819,1410,31.19,0.9915,0.7702,0.8999,0.9566,1,1,1,0.0085,0.6695,0.8017,0.9009
i_bridger_1_6,illumination,1211,650,27.74,1.0646,0.5483,0.7217,0.8315,1,1,1,0.0000,0.6451,0.7871,0.8935
i_brooklyn_1_2,illumination,1752,1378,31.49,0.4212,0.7871,0.9001,0.9561,1,1,1,0.5788,0.8596,0.9158,0.9579
i_brooklyn_1_3,illumination,1985,1762,31.85,1.0709,0.8771,0.9683,0.9874,1,1,1,0.0000,0.6430,0.7858,0.8929
i_brooklyn_1_4,illumination,1629,1154,31.81,0.6078,0.7084,0.8471,0.9263,1,1,1,0.3922,0.7974,0.8784,0.9392
i_brooklyn_1_5,illumination,2008,1737,34.01,1.1395,0.8456,0.9622,0.9900,1,1,1,0.0000,0.6202,0.7721,0.8861
i_brooklyn_1_6,illumination,1720,1309,31.21,1.0570,0.7453,0.8831,0.9506,1,1,1,0.0000,0.6477,0.7886,0.8943
i_castle_1_2,illumination,1338,775,29.48,1.0663,0.5837,0.7534,0.8572,1,1,1,0.0000,0.6446,0.7867,0.8934
i_castle_1_3,illumination,1544,1153,29.58,0.3832,0.7481,0.8769,0.9385,1,1,1,0.6168,0.8723,0.9234,0.9617
i_castle_1_4,illumination,1455,1054,28.32,1.0850,0.7141,0.8447,0.9120,1,1,1,0.0000,0.6383,0.7830,0.8915
i_castle_1_5,illumination,1114,653,26.61,1.1387,0.5808,0.7415,0.8555,1,1,1,0.0000,0.6204,0.7723,0.8861
i_castle_1_6,illumination,1272,740,30.11,0.6521,0.5802,0.7303,0.8208,1,1,1,0.3479,0.7826,0.8696,0.9348
i_chestnuts_1_2,illumination,1701,1484,28.78,0.3125,0.8730,0.9318,0.9612,1,1,1,0.6875,0.8958,0.9375,0.9687
i_chestnuts_1_3,illumination,1678,1454,28.69,0.3931,0.8665,0.9190,0.9541,1,1,1,0.6069,0.8690,0.9214,0.9607
i_chestnuts_1_4,illumination,1685,1420,28.32,0.4086,0.8415,0.9092,0.9424,1,1,1,0.5914,0.8638,0.9183,0.9591
i_chestnuts_1_5,illumination,1577,1274,27.39,0.6279,0.8072,0.8782,0.9169,1,1,1,0.3721,0.7907,0.8744,0.9372
i_chestnuts_1_6,illumination,1383,1045,28.96,0.8175,0.7520,0.8344,0.8952,1,1,1,0.1825,0.7275,0.8365,0.9183
i_crownday_1_2,illumination,1844,1154,38.47,1.6339,0.6296,0.7766,0.8671,1,1,1,0.0000,0.4554,0.6732,0.8366
i_crownday_1_3,illumination,2196,1627,40.20,0.9610,0.7395,0.8611,0.9226,1,1,1,0.0390,0.6797,0.8078,0.9039
i_crownday_1_4,illumination,2405,1941,39.05,1.1535,0.8029,0.8998,0.9447,1,1,1,0.0000,0.6155,0.7693,0.8846
i_crownday_1_5,illumination,2684,2321,40.62,0.5760,0.8644,0.9359,0.9702,1,1,1,0.4240,0.8080,0.8848,0.9424
i_crownday_1_6,illumination,1714,1097,33.57,1.1271,0.6289,0.7870,0.8903,1,1,1,0.0000,0.6243,0.7746,0.8873
i_dome_1_2,illumination,1886,1761,30.03,0.1093,0.9337,0.9740,0.9846,1,1,1,0.8907,0.9636,0.9781,0.9891
i_dome_1_3,illumination,938,580,24.53,1.6428,0.6098,0.7495,0.8550,1,1,1,0.0000,0.4524,0.6714,0.8357
i_dome_1_4,illumination,915,558,24.25,2.6721,0.6219,0.7585,0.8557,1,1,1,0.0000,0.1093,0.4656,0.7328
i_dome_1_5,illumination,983,607,25.91,1.3132,0.6226,0.7569,0.8515,1,1,1,0.0000,0.5623,0.7374,0.8687
i_dome_1_6,illumination,1567,1228,29.09,0.6220,0.7817,0.8794,0.9266,1,1,1,0.3780,0.7927,0.8756,0.9378
i_duda_1_2,illumination,1027,1015,19.80,0.3339,0.9883,0.9971,0.9981,1,1,1,0.6661,0.8887,0.9332,0.9666
i_duda_1_3,illumination,978,955,19.81,0.3765,0.9765,0.9928,0.9980,1,1,1,0.6235,0.8745,0.9247,0.9623
i_duda_1_4,illumination,947,907,18.90,0.3040,0.9578,0.9926,0.9979,1,1,1,0.6960,0.8987,0.9392,0.9696
i_duda_1_5,illumination,901,838,19.93,0.5945,0.9279,0.9834,0.9967,1,1,1,0.4055,0.8018,0.8811,0.9405
