PairName,R_err,t_err,max_err,inliers_est,inliers_matcher,time_ms
Undistorted_SfM/0015/images/205993922_4ad25ed386_o.jpg-Undistorted_SfM/0015/images/2912685234_7c4c21ee78_o.jpg,0.0491,0.7506,0.7506,296,390,214.63
Undistorted_SfM/0015/images/3602433917_f463ce87ae_o.jpg-Undistorted_SfM/0015/images/513784629_a73e267b94_o.jpg,0.4950,1.5767,1.5767,184,120,6.31
Undistorted_SfM/0015/images/2695220557_acffd8b032_o.jpg-Undistorted_SfM/0015/images/2073853679_f35bb29c49_o.jpg,0.1686,0.6973,0.6973,717,891,6.44
Undistorted_SfM/0015/images/2144101292_2e7ddae58e_o.jpg-Undistorted_SfM/0015/images/2979505208_68bf32c5c6_o.jpg,0.9672,5.9990,5.9990,451,657,9.82
Undistorted_SfM/0015/images/3016357975_e207c12959_o.jpg-Undistorted_SfM/0015/images/62689091_76cdd0858b_o.jpg,2.8551,7.9154,7.9154,95,157,10.37
Undistorted_SfM/0015/images/2297788512_6d09de6efa_o.jpg-Undistorted_SfM/0015/images/479605349_8aa68e066d_o.jpg,0.2495,1.4915,1.4915,429,564,14.28
Undistorted_SfM/0015/images/2959733121_2a804e7d1c_o.jpg-Undistorted_SfM/0015/images/3116080871_8b1a976270_o.jpg,0.1015,0.1177,0.1177,532,492,6.75
Undistorted_SfM/0015/images/2150679996_fd2cd6339e_o.jpg-Undistorted_SfM/0015/images/330736595_6ee3e97748_o.jpg,0.0849,0.4091,0.4091,504,551,5.86
Undistorted_SfM/0015/images/519495813_f5888bacef_o.jpg-Undistorted_SfM/0015/images/2959733121_2a804e7d1c_o.jpg,0.1393,0.5168,0.5168,509,569,5.79
Undistorted_SfM/0015/images/2150679996_fd2cd6339e_o.jpg-Undistorted_SfM/0015/images/310129573_eb686a9dc1_o.jpg,0.0933,0.2700,0.2700,410,402,6.54
Undistorted_SfM/0015/images/3968509319_096d953be0_o.jpg-Undistorted_SfM/0015/images/3480265591_02fd1d7f7e_o.jpg,0.1533,1.2748,1.2748,491,415,9.57
Undistorted_SfM/0015/images/275487465_7c3950ece9_o.jpg-Undistorted_SfM/0015/images/2417420544_35c5823b26_o.jpg,1.6191,4.5000,4.5000,281,282,9.60
Undistorted_SfM/0015/images/3017173460_ab03751ac5_o.jpg-Undistorted_SfM/0015/images/1479060879_85841216d3_o.jpg,0.9082,2.3223,2.3223,219,266,9.36
Undistorted_SfM/0015/images/205993994_6969ba4619_o.jpg-Undistorted_SfM/0015/images/2960579238_7ba551628b_o.jpg,0.2469,1.4082,1.4082,646,659,6.93
Undistorted_SfM/0015/images/3658689893_7a410fce78_o.jpg-Undistorted_SfM/0015/images/2268632857_50bc94ff02_o.jpg,0.7282,9.3368,9.3368,501,613,6.36
Undistorted_SfM/0015/images/389635223_1213f76125_o.jpg-Undistorted_SfM/0015/images/479605349_8aa68e066d_o.jpg,0.6497,1.6117,1.6117,791,871,6.12
Undistorted_SfM/0015/images/2423039455_2c0e80fcaf_o.jpg-Undistorted_SfM/0015/images/3563524378_1c6d70bee9_o.jpg,0.4469,1.9267,1.9267,235,208,5.89
Undistorted_SfM/0015/images/275493871_794161ba91_o.jpg-Undistorted_SfM/0015/images/301589598_39710c03a0_o.jpg,0.3967,1.5254,1.5254,621,622,9.57
Undistorted_SfM/0015/images/2461826946_e3bdfaee10_o.jpg-Undistorted_SfM/0015/images/399366437_93d93efe8f_o.jpg,0.6819,1.1684,1.1684,414,504,6.54
Undistorted_SfM/0015/images/2947740433_8316ecf292_o.jpg-Undistorted_SfM/0015/images/479605349_8aa68e066d_o.jpg,0.5779,3.9107,3.9107,418,532,6.35
Undistorted_SfM/0015/images/2959733121_2a804e7d1c_o.jpg-Undistorted_SfM/0015/images/2812251450_919bb5b0ac_o.jpg,0.3156,1.5798,1.5798,412,484,5.82
Undistorted_SfM/0015/images/205993994_6969ba4619_o.jpg-Undistorted_SfM/0015/images/2152097903_afd5ff9ce6_o.jpg,0.0087,0.1574,0.1574,858,964,6.00
Undistorted_SfM/0015/images/423966189_a67818f8c4_o.jpg-Undistorted_SfM/0015/images/1349576135_91cfa7d80a_o.jpg,0.2851,0.4872,0.4872,459,339,6.38
Undistorted_SfM/0015/images/3049525344_1ec608ea40_o.jpg-Undistorted_SfM/0015/images/330736595_6ee3e97748_o.jpg,0.2552,2.1620,2.1620,639,720,5.87
