PairName,R_err,t_err,max_err,inliers_est,inliers_matcher,time_ms
Undistorted_SfM/0015/images/205993922_4ad25ed386_o.jpg-Undistorted_SfM/0015/images/2912685234_7c4c21ee78_o.jpg,0.6336,5.7803,5.7803,116,126,191.38
Undistorted_SfM/0015/images/3602433917_f463ce87ae_o.jpg-Undistorted_SfM/0015/images/513784629_a73e267b94_o.jpg,0.9054,4.9115,4.9115,58,32,94.22
Undistorted_SfM/0015/images/2695220557_acffd8b032_o.jpg-Undistorted_SfM/0015/images/2073853679_f35bb29c49_o.jpg,0.7428,3.4284,3.4284,314,343,89.65
Undistorted_SfM/0015/images/2144101292_2e7ddae58e_o.jpg-Undistorted_SfM/0015/images/2979505208_68bf32c5c6_o.jpg,0.6275,3.8587,3.8587,200,229,89.87
Undistorted_SfM/0015/images/3016357975_e207c12959_o.jpg-Undistorted_SfM/0015/images/62689091_76cdd0858b_o.jpg,27.1099,58.5332,58.5332,32,40,75.66
Undistorted_SfM/0015/images/2297788512_6d09de6efa_o.jpg-Undistorted_SfM/0015/images/479605349_8aa68e066d_o.jpg,1.2631,6.9889,6.9889,122,137,99.94
Undistorted_SfM/0015/images/2959733121_2a804e7d1c_o.jpg-Undistorted_SfM/0015/images/3116080871_8b1a976270_o.jpg,0.3367,0.2143,0.3367,222,181,87.25
Undistorted_SfM/0015/images/2150679996_fd2cd6339e_o.jpg-Undistorted_SfM/0015/images/330736595_6ee3e97748_o.jpg,0.0361,0.1571,0.1571,202,141,90.55
Undistorted_SfM/0015/images/519495813_f5888bacef_o.jpg-Undistorted_SfM/0015/images/2959733121_2a804e7d1c_o.jpg,0.4184,1.4731,1.4731,143,107,80.42
Undistorted_SfM/0015/images/2150679996_fd2cd6339e_o.jpg-Undistorted_SfM/0015/images/310129573_eb686a9dc1_o.jpg,0.7600,4.2832,4.2832,103,42,93.70
