PairName,R_err,t_err,max_err,inliers_est,inliers_matcher,time_ms
Undistorted_SfM/0015/images/205993922_4ad25ed386_o.jpg-Undistorted_SfM/0015/images/2912685234_7c4c21ee78_o.jpg,0.3333,3.2682,3.2682,319,460,244.39
Undistorted_SfM/0015/images/3602433917_f463ce87ae_o.jpg-Undistorted_SfM/0015/images/513784629_a73e267b94_o.jpg,0.5061,5.0883,5.0883,207,142,7.97
Undistorted_SfM/0015/images/2695220557_acffd8b032_o.jpg-Undistorted_SfM/0015/images/2073853679_f35bb29c49_o.jpg,1.4813,6.7705,6.7705,757,979,6.49
Undistorted_SfM/0015/images/2144101292_2e7ddae58e_o.jpg-Undistorted_SfM/0015/images/2979505208_68bf32c5c6_o.jpg,1.6647,10.1814,10.1814,577,792,13.02
Undistorted_SfM/0015/images/3016357975_e207c12959_o.jpg-Undistorted_SfM/0015/images/62689091_76cdd0858b_o.jpg,1.3393,3.6781,3.6781,181,302,12.68
Undistorted_SfM/0015/images/2297788512_6d09de6efa_o.jpg-Undistorted_SfM/0015/images/479605349_8aa68e066d_o.jpg,0.0842,0.1896,0.1896,502,666,13.00
Undistorted_SfM/0015/images/2959733121_2a804e7d1c_o.jpg-Undistorted_SfM/0015/images/3116080871_8b1a976270_o.jpg,0.1476,0.3245,0.3245,619,615,8.16
Undistorted_SfM/0015/images/2150679996_fd2cd6339e_o.jpg-Undistorted_SfM/0015/images/330736595_6ee3e97748_o.jpg,0.0152,0.0660,0.0660,546,649,6.41
Undistorted_SfM/0015/images/519495813_f5888bacef_o.jpg-Undistorted_SfM/0015/images/2959733121_2a804e7d1c_o.jpg,0.1799,0.6709,0.6709,530,598,6.28
Undistorted_SfM/0015/images/2150679996_fd2cd6339e_o.jpg-Undistorted_SfM/0015/images/310129573_eb686a9dc1_o.jpg,0.1864,0.5964,0.5964,432,471,7.17
Undistorted_SfM/0015/images/3968509319_096d953be0_o.jpg-Undistorted_SfM/0015/images/3480265591_02fd1d7f7e_o.jpg,0.1877,1.3766,1.3766,566,505,12.67
Undistorted_SfM/0015/images/275487465_7c3950ece9_o.jpg-Undistorted_SfM/0015/images/2417420544_35c5823b26_o.jpg,0.6465,2.9805,2.9805,328,327,12.71
Undistorted_SfM/0015/images/3017173460_ab03751ac5_o.jpg-Undistorted_SfM/0015/images/1479060879_85841216d3_o.jpg,0.4372,1.2544,1.2544,224,283,11.58
Undistorted_SfM/0015/images/205993994_6969ba4619_o.jpg-Undistorted_SfM/0015/images/2960579238_7ba551628b_o.jpg,0.1093,0.6444,0.6444,715,768,7.32
Undistorted_SfM/0015/images/3658689893_7a410fce78_o.jpg-Undistorted_SfM/0015/images/2268632857_50bc94ff02_o.jpg,0.1253,1.2813,1.2813,562,671,7.85
Undistorted_SfM/0015/images/389635223_1213f76125_o.jpg-Undistorted_SfM/0015/images/479605349_8aa68e066d_o.jpg,0.6205,1.3978,1.3978,900,999,7.22
Undistorted_SfM/0015/images/2423039455_2c0e80fcaf_o.jpg-Undistorted_SfM/0015/images/3563524378_1c6d70bee9_o.jpg,0.2421,0.8405,0.8405,281,261,6.12
Undistorted_SfM/0015/images/275493871_794161ba91_o.jpg-Undistorted_SfM/0015/images/301589598_39710c03a0_o.jpg,0.0705,0.8932,0.8932,628,666,16.93
Undistorted_SfM/0015/images/2461826946_e3bdfaee10_o.jpg-Undistorted_SfM/0015/images/399366437_93d93efe8f_o.jpg,0.3427,0.5627,0.5627,466,572,6.79
Undistorted_SfM/0015/images/2947740433_8316ecf292_o.jpg-Undistorted_SfM/0015/images/479605349_8aa68e066d_o.jpg,0.7402,5.1375,5.1375,479,658,7.80
Undistorted_SfM/0015/images/2959733121_2a804e7d1c_o.jpg-Undistorted_SfM/0015/images/2812251450_919bb5b0ac_o.jpg,0.5292,2.4380,2.4380,442,566,6.47
Undistorted_SfM/0015/images/205993994_6969ba4619_o.jpg-Undistorted_SfM/0015/images/2152097903_afd5ff9ce6_o.jpg,0.3524,3.5702,3.5702,903,1036,7.50
Undistorted_SfM/0015/images/423966189_a67818f8c4_o.jpg-Undistorted_SfM/0015/images/1349576135_91cfa7d80a_o.jpg,0.4073,0.0737,0.4073,509,403,7.15
Undistorted_SfM/0015/images/3049525344_1ec608ea40_o.jpg-Undistorted_SfM/0015/images/330736595_6ee3e97748_o.jpg,0.5216,4.4384,4.4384,692,784,6.81
Undistorted_SfM/0015/images/297915079_448359e91c_o.jpg-Undistorted_SfM/0015/images/4142908691_3884438815_o.jpg,0.2997,0.4676,0.4676,517,387,7.57
Undistorted_SfM/0015/images/3485283391_ffc62657fd_o.jpg-Undistorted_SfM/0015/images/3056331888_e7f4c11bb3_o.jpg,0.1005,0.2927,0.2927,401,285,7.39
Undistorted_SfM/0015/images/549917433_99b38abc41_o.jpg-Undistorted_SfM/0015/images/389637286_3f18f449c8_o.jpg,0.1822,0.9852,0.9852,440,672,7.20
Undistorted_SfM/0015/images/3016357975_e207c12959_o.jpg-Undistorted_SfM/0015/images/2812251450_919bb5b0ac_o.jpg,19.7068,15.5272,19.7068,64,94,7.16
Undistorted_SfM/0015/images/4174108353_20422632d6_o.jpg-Undistorted_SfM/0015/images/2944951677_38bc5ffd65_o.jpg,0.4199,0.9187,0.9187,200,158,12.65
Undistorted_SfM/0015/images/3017173460_ab03751ac5_o.jpg-Undistorted_SfM/0015/images/2175390292_555e644515_o.jpg,1.8059,4.5114,4.5114,172,218,7.25
Undistorted_SfM/0015/images/2150679996_fd2cd6339e_o.jpg-Undistorted_SfM/0015/images/3314768535_18f35875cb_o.jpg,0.0760,0.8745,0.8745,652,696,7.98
Undistorted_SfM/0015/images/2189792388_50f1cddf2a_o.jpg-Undistorted_SfM/0015/images/2362907762_bb9469a630_o.jpg,158.5800,68.5717,158.5800,31,10,7.48
Undistorted_SfM/0015/images/3485283391_ffc62657fd_o.jpg-Undistorted_SfM/0015/images/3480265591_02fd1d7f7e_o.jpg,0.0925,0.2072,0.2072,363,340,6.18
Undistorted_SfM/0015/images/205993994_6969ba4619_o.jpg-Undistorted_SfM/0015/images/3480265591_02fd1d7f7e_o.jpg,1.8839,19.0968,19.0968,349,448,6.22
Undistorted_SfM/0015/images/1949239530_e4b06e6181_o.jpg-Undistorted_SfM/0015/images/2362907762_bb9469a630_o.jpg,0.6389,1.7324,1.7324,735,724,7.51
Undistorted_SfM/0015/images/1948510225_f88f292e3f_o.jpg-Undistorted_SfM/0015/images/2429046426_eddd69687b_o.jpg,41.1331,48.2293,48.2293,29,42,6.43
Undistorted_SfM/0015/images/2874255043_f436b313fb_o.jpg-Undistorted_SfM/0015/images/345822933_b5fb7b6feb_o.jpg,0.5176,0.8683,0.8683,843,1005,8.63
Undistorted_SfM/0015/images/2492313401_4e912ecf9a_o.jpg-Undistorted_SfM/0015/images/2493137906_10a2f6b1b6_o.jpg,0.0266,0.3283,0.3283,462,461,6.75
Undistorted_SfM/0015/images/375696071_1c3e63e9e3_o.jpg-Undistorted_SfM/0015/images/2387318672_0f9986d347_o.jpg,0.5239,1.5239,1.5239,473,587,7.84
Undistorted_SfM/0015/images/3551806723_a47181cf9a_o.jpg-Undistorted_SfM/0015/images/3885626944_ef7b25d477_o.jpg,0.1311,0.5871,0.5871,384,270,6.57
Undistorted_SfM/0015/images/3536283854_f6386dd610_o.jpg-Undistorted_SfM/0015/images/205993922_4ad25ed386_o.jpg,0.0590,0.2134,0.2134,545,566,8.24
Undistorted_SfM/0015/images/4142908691_3884438815_o.jpg-Undistorted_SfM/0015/images/4143668500_4d10ec3fc6_o.jpg,0.9673,1.3135,1.3135,590,406,6.88
Undistorted_SfM/0015/images/2959733121_2a804e7d1c_o.jpg-Undistorted_SfM/0015/images/297915079_448359e91c_o.jpg,0.2737,0.8209,0.8209,574,661,6.79
Undistorted_SfM/0015/images/3485283391_ffc62657fd_o.jpg-Undistorted_SfM/0015/images/878855662_a241416cff_o.jpg,0.1257,0.7540,0.7540,421,301,7.67
Undistorted_SfM/0015/images/262596264_0cb3e46c00_o.jpg-Undistorted_SfM/0015/images/492130269_796b5bf602_o.jpg,0.5834,1.6996,1.6996,421,429,6.76
Undistorted_SfM/0015/images/3180508595_1128ea7157_o.jpg-Undistorted_SfM/0015/images/2268632857_50bc94ff02_o.jpg,0.4159,1.9119,1.9119,544,569,6.47
Undistorted_SfM/0015/images/2416022433_ec37763a52_o.jpg-Undistorted_SfM/0015/images/2194604432_b1e45d6a59_o.jpg,0.1764,1.4993,1.4993,525,812,9.35
Undistorted_SfM/0015/images/4174108353_20422632d6_o.jpg-Undistorted_SfM/0015/images/2416783016_245686617a_o.jpg,0.8734,2.4234,2.4234,225,189,8.05
Undistorted_SfM/0015/images/1969087925_0f439b6bc7_o.jpg-Undistorted_SfM/0015/images/301589598_39710c03a0_o.jpg,14.9068,29.9713,29.9713,34,9,12.90
Undistorted_SfM/0015/images/2811393705_fc1d64747e_o.jpg-Undistorted_SfM/0015/images/3536283854_f6386dd610_o.jpg,0.3815,1.0432,1.0432,570,630,6.80
Undistorted_SfM/0015/images/2795417037_fd80a23e35_o.jpg-Undistorted_SfM/0015/images/2268632857_50bc94ff02_o.jpg,0.0656,0.2035,0.2035,387,415,7.69
Undistorted_SfM/0015/images/4174108353_20422632d6_o.jpg-Undistorted_SfM/0015/images/375694219_08f3ef71ee_o.jpg,1.9705,16.5581,16.5581,464,570,6.96
Undistorted_SfM/0015/images/1949239530_e4b06e6181_o.jpg-Undistorted_SfM/0015/images/399364960_845892e7d7_o.jpg,0.1895,0.2746,0.2746,606,366,7.26
Undistorted_SfM/0015/images/3159096518_744c87899e_o.jpg-Undistorted_SfM/0015/images/2979505208_68bf32c5c6_o.jpg,0.5033,1.4152,1.4152,565,566,6.86
Undistorted_SfM/0015/images/375694219_08f3ef71ee_o.jpg-Undistorted_SfM/0015/images/2152097903_afd5ff9ce6_o.jpg,0.5756,5.8162,5.8162,467,629,6.63
Undistorted_SfM/0015/images/3551806723_a47181cf9a_o.jpg-Undistorted_SfM/0015/images/3519412089_18daa2c071_o.jpg,0.0656,1.4672,1.4672,432,387,7.59
Undistorted_SfM/0015/images/3658689893_7a410fce78_o.jpg-Undistorted_SfM/0015/images/144245474_d030ef9e44_o.jpg,0.3397,4.6537,4.6537,423,442,7.46
Undistorted_SfM/0015/images/3016357975_e207c12959_o.jpg-Undistorted_SfM/0015/images/205993922_4ad25ed386_o.jpg,0.1035,0.8266,0.8266,600,722,7.83
Undistorted_SfM/0015/images/2695220557_acffd8b032_o.jpg-Undistorted_SfM/0015/images/2281581496_dfd0300cee_o.jpg,0.0715,2.6592,2.6592,1040,1118,6.32
Undistorted_SfM/0015/images/519467706_cec0e967a5_o.jpg-Undistorted_SfM/0015/images/3602442955_5305b75580_o.jpg,0.2010,0.5078,0.5078,365,414,6.71
Undistorted_SfM/0015/images/3752206429_d18226a19f_o.jpg-Undistorted_SfM/0015/images/1105376832_6f92693a76_o.jpg,0.2202,0.2523,0.2523,525,221,14.05
Undistorted_SfM/0015/images/297915079_448359e91c_o.jpg-Undistorted_SfM/0015/images/4001663691_8460da38bb_o.jpg,0.8622,1.8253,1.8253,476,530,6.49
Undistorted_SfM/0015/images/2876332116_d90384ab69_o.jpg-Undistorted_SfM/0015/images/29307281_d7872975e2_o.jpg,0.0883,0.0900,0.0900,578,592,6.93
Undistorted_SfM/0015/images/2825304557_43d08b3807_o.jpg-Undistorted_SfM/0015/images/207157445_e6ce5ad0bf_o.jpg,0.2307,1.3085,1.3085,538,681,6.01
Undistorted_SfM/0015/images/375696071_1c3e63e9e3_o.jpg-Undistorted_SfM/0015/images/3603252064_1732668687_o.jpg,0.4429,0.8902,0.8902,485,583,6.27
Undistorted_SfM/0015/images/2588733932_079fa6732a_o.jpg-Undistorted_SfM/0015/images/164326891_8a88269821_o.jpg,4.8262,16.3850,16.3850,75,95,7.91
Undistorted_SfM/0015/images/3480270595_61e9118a00_o.jpg-Undistorted_SfM/0015/images/301589598_39710c03a0_o.jpg,0.3550,1.9852,1.9852,411,392,6.07
Undistorted_SfM/0015/images/2709820376_ae3debf8b1_o.jpg-Undistorted_SfM/0015/images/473673123_7a024d74c7_o.jpg,0.0763,0.1799,0.1799,624,653,7.84
Undistorted_SfM/0015/images/2364083476_4263241831_o.jpg-Undistorted_SfM/0015/images/2505812706_c3063bbd42_o.jpg,0.0820,0.4868,0.4868,359,387,7.60
Undistorted_SfM/0015/images/519495813_f5888bacef_o.jpg-Undistorted_SfM/0015/images/3480270595_61e9118a00_o.jpg,0.7073,10.4434,10.4434,466,374,9.46
Undistorted_SfM/0015/images/3885626944_ef7b25d477_o.jpg-Undistorted_SfM/0015/images/1162164006_4b2185f4e7_o.jpg,0.1311,0.5154,0.5154,525,387,7.03
Undistorted_SfM/0015/images/297924462_822756e234_o.jpg-Undistorted_SfM/0015/images/2695245535_5277cc6e93_o.jpg,0.2318,2.5961,2.5961,823,1026,7.89
Undistorted_SfM/0015/images/3016357975_e207c12959_o.jpg-Undistorted_SfM/0015/images/2695220557_acffd8b032_o.jpg,0.2163,2.4356,2.4356,256,368,7.85
Undistorted_SfM/0015/images/3180508595_1128ea7157_o.jpg-Undistorted_SfM/0015/images/66518178_f9db888403_o.jpg,1.8812,3.8326,3.8326,516,604,7.72
