PairName,R_err,t_err,max_err,inliers_est,inliers_matcher,time_ms
Undistorted_SfM/0015/images/205993922_4ad25ed386_o.jpg-Undistorted_SfM/0015/images/2912685234_7c4c21ee78_o.jpg,0.0909,0.9208,0.9208,589,754,240.06
Undistorted_SfM/0015/images/3602433917_f463ce87ae_o.jpg-Undistorted_SfM/0015/images/513784629_a73e267b94_o.jpg,0.8510,3.1752,3.1752,354,277,14.70
Undistorted_SfM/0015/images/2695220557_acffd8b032_o.jpg-Undistorted_SfM/0015/images/2073853679_f35bb29c49_o.jpg,0.2816,1.3730,1.3730,1001,1234,14.49
Undistorted_SfM/0015/images/2144101292_2e7ddae58e_o.jpg-Undistorted_SfM/0015/images/2979505208_68bf32c5c6_o.jpg,1.0323,6.4240,6.4240,749,961,21.85
Undistorted_SfM/0015/images/3016357975_e207c12959_o.jpg-Undistorted_SfM/0015/images/62689091_76cdd0858b_o.jpg,0.2094,0.5385,0.5385,350,504,19.45
Undistorted_SfM/0015/images/2297788512_6d09de6efa_o.jpg-Undistorted_SfM/0015/images/479605349_8aa68e066d_o.jpg,0.1163,0.1198,0.1198,638,783,20.34
Undistorted_SfM/0015/images/2959733121_2a804e7d1c_o.jpg-Undistorted_SfM/0015/images/3116080871_8b1a976270_o.jpg,0.2087,0.0559,0.2087,868,832,14.80
Undistorted_SfM/0015/images/2150679996_fd2cd6339e_o.jpg-Undistorted_SfM/0015/images/330736595_6ee3e97748_o.jpg,0.0164,0.0475,0.0475,739,780,15.27
Undistorted_SfM/0015/images/519495813_f5888bacef_o.jpg-Undistorted_SfM/0015/images/2959733121_2a804e7d1c_o.jpg,0.0997,0.3966,0.3966,716,769,14.67
Undistorted_SfM/0015/images/2150679996_fd2cd6339e_o.jpg-Undistorted_SfM/0015/images/310129573_eb686a9dc1_o.jpg,0.1240,0.4535,0.4535,707,756,14.43
Undistorted_SfM/0015/images/3968509319_096d953be0_o.jpg-Undistorted_SfM/0015/images/3480265591_02fd1d7f7e_o.jpg,0.1573,1.2708,1.2708,787,687,22.33
Undistorted_SfM/0015/images/275487465_7c3950ece9_o.jpg-Undistorted_SfM/0015/images/2417420544_35c5823b26_o.jpg,0.3397,0.3296,0.3397,482,507,18.31
Undistorted_SfM/0015/images/3017173460_ab03751ac5_o.jpg-Undistorted_SfM/0015/images/1479060879_85841216d3_o.jpg,0.8734,2.1568,2.1568,301,394,20.18
Undistorted_SfM/0015/images/205993994_6969ba4619_o.jpg-Undistorted_SfM/0015/images/2960579238_7ba551628b_o.jpg,0.1026,0.3398,0.3398,845,845,15.03
Undistorted_SfM/0015/images/3658689893_7a410fce78_o.jpg-Undistorted_SfM/0015/images/2268632857_50bc94ff02_o.jpg,0.1269,1.4061,1.4061,777,898,15.81
Undistorted_SfM/0015/images/389635223_1213f76125_o.jpg-Undistorted_SfM/0015/images/479605349_8aa68e066d_o.jpg,0.5384,1.2827,1.2827,1094,1199,15.37
Undistorted_SfM/0015/images/2423039455_2c0e80fcaf_o.jpg-Undistorted_SfM/0015/images/3563524378_1c6d70bee9_o.jpg,0.2148,0.3781,0.3781,556,549,16.08
Undistorted_SfM/0015/images/275493871_794161ba91_o.jpg-Undistorted_SfM/0015/images/301589598_39710c03a0_o.jpg,0.5970,1.8315,1.8315,816,849,22.25
