PairName,R_err,t_err,max_err,inliers_est,inliers_matcher,time_ms
Undistorted_SfM/0015/images/205993922_4ad25ed386_o.jpg-Undistorted_SfM/0015/images/2912685234_7c4c21ee78_o.jpg,0.2049,1.9315,1.9315,336,545,291.73
Undistorted_SfM/0015/images/3602433917_f463ce87ae_o.jpg-Undistorted_SfM/0015/images/513784629_a73e267b94_o.jpg,0.2139,2.6822,2.6822,202,170,69.09
Undistorted_SfM/0015/images/2695220557_acffd8b032_o.jpg-Undistorted_SfM/0015/images/2073853679_f35bb29c49_o.jpg,0.5004,2.5025,2.5025,632,882,62.10
Undistorted_SfM/0015/images/2144101292_2e7ddae58e_o.jpg-Undistorted_SfM/0015/images/2979505208_68bf32c5c6_o.jpg,0.9890,5.7760,5.7760,457,731,63.57
Undistorted_SfM/0015/images/3016357975_e207c12959_o.jpg-Undistorted_SfM/0015/images/62689091_76cdd0858b_o.jpg,0.3072,0.6085,0.6085,208,304,57.43
Undistorted_SfM/0015/images/2297788512_6d09de6efa_o.jpg-Undistorted_SfM/0015/images/479605349_8aa68e066d_o.jpg,0.2726,1.5143,1.5143,481,673,54.56
Undistorted_SfM/0015/images/2959733121_2a804e7d1c_o.jpg-Undistorted_SfM/0015/images/3116080871_8b1a976270_o.jpg,1.4249,4.5101,4.5101,440,567,61.49
Undistorted_SfM/0015/images/2150679996_fd2cd6339e_o.jpg-Undistorted_SfM/0015/images/330736595_6ee3e97748_o.jpg,0.0277,0.2214,0.2214,446,594,60.12
Undistorted_SfM/0015/images/519495813_f5888bacef_o.jpg-Undistorted_SfM/0015/images/2959733121_2a804e7d1c_o.jpg,0.2043,0.7804,0.7804,428,561,59.28
Undistorted_SfM/0015/images/2150679996_fd2cd6339e_o.jpg-Undistorted_SfM/0015/images/310129573_eb686a9dc1_o.jpg,0.0880,0.1648,0.1648,415,501,58.39
Undistorted_SfM/0015/images/3968509319_096d953be0_o.jpg-Undistorted_SfM/0015/images/3480265591_02fd1d7f7e_o.jpg,0.1416,1.0101,1.0101,449,452,69.31
Undistorted_SfM/0015/images/275487465_7c3950ece9_o.jpg-Undistorted_SfM/0015/images/2417420544_35c5823b26_o.jpg,1.3594,4.8952,4.8952,288,369,56.16
Undistorted_SfM/0015/images/3017173460_ab03751ac5_o.jpg-Undistorted_SfM/0015/images/1479060879_85841216d3_o.jpg,0.5938,1.6744,1.6744,225,374,61.00
Undistorted_SfM/0015/images/205993994_6969ba4619_o.jpg-Undistorted_SfM/0015/images/2960579238_7ba551628b_o.jpg,0.0870,0.6742,0.6742,565,692,61.71
Undistorted_SfM/0015/images/3658689893_7a410fce78_o.jpg-Undistorted_SfM/0015/images/2268632857_50bc94ff02_o.jpg,0.1956,1.9941,1.9941,473,562,59.75
Undistorted_SfM/0015/images/389635223_1213f76125_o.jpg-Undistorted_SfM/0015/images/479605349_8aa68e066d_o.jpg,0.2277,0.5412,0.5412,754,962,61.94
Undistorted_SfM/0015/images/2423039455_2c0e80fcaf_o.jpg-Undistorted_SfM/0015/images/3563524378_1c6d70bee9_o.jpg,0.4400,1.5115,1.5115,361,348,59.09
Undistorted_SfM/0015/images/275493871_794161ba91_o.jpg-Undistorted_SfM/0015/images/301589598_39710c03a0_o.jpg,0.5682,1.6039,1.6039,479,594,52.83
Undistorted_SfM/0015/images/2461826946_e3bdfaee10_o.jpg-Undistorted_SfM/0015/images/399366437_93d93efe8f_o.jpg,0.3177,0.5360,0.5360,379,523,60.38
Undistorted_SfM/0015/images/2947740433_8316ecf292_o.jpg-Undistorted_SfM/0015/images/479605349_8aa68e066d_o.jpg,0.1451,0.6317,0.6317,486,625,61.69
Undistorted_SfM/0015/images/2959733121_2a804e7d1c_o.jpg-Undistorted_SfM/0015/images/2812251450_919bb5b0ac_o.jpg,0.7395,2.9798,2.9798,366,520,57.98
