PairName,R_err,t_err,max_err,inliers_est,inliers_matcher,time_ms
Undistorted_SfM/0015/images/205993922_4ad25ed386_o.jpg-Undistorted_SfM/0015/images/2912685234_7c4c21ee78_o.jpg,1.6409,15.4554,15.4554,396,602,305.15
Undistorted_SfM/0015/images/3602433917_f463ce87ae_o.jpg-Undistorted_SfM/0015/images/513784629_a73e267b94_o.jpg,0.1804,0.4070,0.4070,160,69,37.01
Undistorted_SfM/0015/images/2695220557_acffd8b032_o.jpg-Undistorted_SfM/0015/images/2073853679_f35bb29c49_o.jpg,1.8762,8.9012,8.9012,1283,1657,42.62
Undistorted_SfM/0015/images/2144101292_2e7ddae58e_o.jpg-Undistorted_SfM/0015/images/2979505208_68bf32c5c6_o.jpg,0.7671,4.6260,4.6260,879,1198,47.18
Undistorted_SfM/0015/images/3016357975_e207c12959_o.jpg-Undistorted_SfM/0015/images/62689091_76cdd0858b_o.jpg,6.6086,18.4801,18.4801,109,185,44.80
Undistorted_SfM/0015/images/2297788512_6d09de6efa_o.jpg-Undistorted_SfM/0015/images/479605349_8aa68e066d_o.jpg,0.5841,3.3192,3.3192,696,943,45.15
Undistorted_SfM/0015/images/2959733121_2a804e7d1c_o.jpg-Undistorted_SfM/0015/images/3116080871_8b1a976270_o.jpg,0.5424,0.3579,0.5424,1122,1101,40.22
Undistorted_SfM/0015/images/2150679996_fd2cd6339e_o.jpg-Undistorted_SfM/0015/images/330736595_6ee3e97748_o.jpg,0.0282,0.0947,0.0947,893,1080,39.58
Undistorted_SfM/0015/images/519495813_f5888bacef_o.jpg-Undistorted_SfM/0015/images/2959733121_2a804e7d1c_o.jpg,0.1068,0.3070,0.3070,765,985,37.27
Undistorted_SfM/0015/images/2150679996_fd2cd6339e_o.jpg-Undistorted_SfM/0015/images/310129573_eb686a9dc1_o.jpg,0.1035,0.4877,0.4877,757,950,39.69
Undistorted_SfM/0015/images/3968509319_096d953be0_o.jpg-Undistorted_SfM/0015/images/3480265591_02fd1d7f7e_o.jpg,0.1432,1.1939,1.1939,781,778,46.74
Undistorted_SfM/0015/images/275487465_7c3950ece9_o.jpg-Undistorted_SfM/0015/images/2417420544_35c5823b26_o.jpg,0.3543,2.9407,2.9407,362,344,44.59
Undistorted_SfM/0015/images/3017173460_ab03751ac5_o.jpg-Undistorted_SfM/0015/images/1479060879_85841216d3_o.jpg,0.4391,1.3617,1.3617,538,716,44.34
Undistorted_SfM/0015/images/205993994_6969ba4619_o.jpg-Undistorted_SfM/0015/images/2960579238_7ba551628b_o.jpg,0.0631,0.6040,0.6040,1007,1056,40.04
Undistorted_SfM/0015/images/3658689893_7a410fce78_o.jpg-Undistorted_SfM/0015/images/2268632857_50bc94ff02_o.jpg,3.7182,36.0974,36.0974,853,1061,40.37
Undistorted_SfM/0015/images/389635223_1213f76125_o.jpg-Undistorted_SfM/0015/images/479605349_8aa68e066d_o.jpg,0.3634,1.0525,1.0525,1423,1659,43.77
Undistorted_SfM/0015/images/2423039455_2c0e80fcaf_o.jpg-Undistorted_SfM/0015/images/3563524378_1c6d70bee9_o.jpg,5.7287,31.6145,31.6145,333,269,36.58
Undistorted_SfM/0015/images/275493871_794161ba91_o.jpg-Undistorted_SfM/0015/images/301589598_39710c03a0_o.jpg,1.0853,2.7459,2.7459,1024,1213,47.90
Undistorted_SfM/0015/images/2461826946_e3bdfaee10_o.jpg-Undistorted_SfM/0015/images/399366437_93d93efe8f_o.jpg,0.6295,1.0959,1.0959,896,1111,38.45
Undistorted_SfM/0015/images/2947740433_8316ecf292_o.jpg-Undistorted_SfM/0015/images/479605349_8aa68e066d_o.jpg,0.9005,6.0176,6.0176,581,709,38.13
Undistorted_SfM/0015/images/2959733121_2a804e7d1c_o.jpg-Undistorted_SfM/0015/images/2812251450_919bb5b0ac_o.jpg,0.6924,3.0092,3.0092,799,1018,37.23
Undistorted_SfM/0015/images/205993994_6969ba4619_o.jpg-Undistorted_SfM/0015/images/2152097903_afd5ff9ce6_o.jpg,0.4622,4.6396,4.6396,1482,1772,44.47
Undistorted_SfM/0015/images/423966189_a67818f8c4_o.jpg-Undistorted_SfM/0015/images/1349576135_91cfa7d80a_o.jpg,0.0175,0.1123,0.1123,714,648,39.55
Undistorted_SfM/0015/images/3049525344_1ec608ea40_o.jpg-Undistorted_SfM/0015/images/330736595_6ee3e97748_o.jpg,0.7745,6.5402,6.5402,1178,1405,41.26
Undistorted_SfM/0015/images/297915079_448359e91c_o.jpg-Undistorted_SfM/0015/images/4142908691_3884438815_o.jpg,0.4712,0.8161,0.8161,662,504,37.82
Undistorted_SfM/0015/images/3485283391_ffc62657fd_o.jpg-Undistorted_SfM/0015/images/3056331888_e7f4c11bb3_o.jpg,0.1323,0.6198,0.6198,424,353,35.64
Undistorted_SfM/0015/images/549917433_99b38abc41_o.jpg-Undistorted_SfM/0015/images/389637286_3f18f449c8_o.jpg,0.3234,1.4973,1.4973,508,769,37.93
