timestamp,total_kpts0,total_kpts1,matched_kpts,inliers,fps,gpu_usage_%,gpu_memory_mb,cpu_usage_%,memory_mb
2026-01-20 17:36:56.318,0,0,4714,4714,4.178671589583368,7,16.8115234375,0.0,1364.49609375
2026-01-20 17:36:56.386,0,0,1982,1257,9.893556445088137,10,16.8115234375,146.0,1387.515625
2026-01-20 17:36:56.451,0,0,1982,1257,13.765057927855846,10,16.8115234375,153.9,1393.5625
2026-01-20 17:36:56.514,0,0,1895,1155,16.586865135702677,10,16.8115234375,160.1,1407.1875
2026-01-20 17:36:56.576,0,0,1911,1156,18.73459852768421,10,16.8115234375,129.1,1393.50390625
2026-01-20 17:36:56.640,0,0,1911,1156,20.315468870057618,10,16.8115234375,154.4,1393.4765625
2026-01-20 17:36:56.703,0,0,1794,1031,21.661548631661578,10,16.8115234375,128.4,1393.65625
2026-01-20 17:36:56.763,0,0,1779,991,22.818759425521066,10,16.8115234375,148.2,1404.1953125
2026-01-20 17:36:56.823,0,0,1657,851,23.83389349965287,10,16.8115234375,134.3,1393.359375
2026-01-20 17:36:56.888,0,0,1657,851,24.52914298272533,10,16.8115234375,153.9,1397.10546875
2026-01-20 17:36:56.957,0,0,1649,876,24.97256488784226,10,16.8115234375,159.5,1393.23046875
2026-01-20 17:36:57.016,0,0,1551,766,25.667931141004274,10,16.8115234375,136.0,1394.06640625
2026-01-20 17:36:57.075,0,0,1405,643,26.275431257954416,10,16.8115234375,152.5,1393.9140625
2026-01-20 17:36:57.134,0,0,1405,643,26.79708778664971,10,16.8115234375,117.3,1414.7578125
2026-01-20 17:36:57.192,0,0,1513,737,27.309057680606912,10,16.8115234375,138.0,1414.96484375
2026-01-20 17:36:57.250,0,0,1637,889,34.20704773959509,10,16.8115234375,120.7,1414.41015625
2026-01-20 17:36:57.310,0,0,1637,889,34.52104898851769,10,16.8115234375,134.3,1413.95703125
2026-01-20 17:36:57.368,0,0,1565,794,34.736961539512706,50,16.8115234375,120.0,1417.45703125
2026-01-20 17:36:57.426,0,0,1679,916,34.92017397211917,50,16.8115234375,138.1,1415.25390625
2026-01-20 17:36:57.482,0,0,1679,916,35.15711846520209,50,16.8115234375,142.3,1414.9453125
2026-01-20 17:36:57.539,0,0,1608,854,35.49026006535127,50,16.8115234375,123.5,1414.7109375
2026-01-20 17:36:57.598,0,0,1540,761,35.624369356769385,50,16.8115234375,135.4,1414.921875
2026-01-20 17:36:57.659,0,0,1540,761,35.6198111284734,50,16.8115234375,147.8,1414.4765625
2026-01-20 17:36:57.720,0,0,1634,896,35.55752486472617,50,16.8115234375,115.8,1417.69921875
2026-01-20 17:36:57.779,0,0,1742,1030,35.775844838140394,50,16.8115234375,133.8,1417.91796875
2026-01-20 17:36:57.840,0,0,1742,1030,36.18787687580509,50,16.8115234375,132.3,1417.85546875
2026-01-20 17:36:57.900,0,0,1681,1006,36.13181557397527,50,16.8115234375,149.7,1414.2421875
2026-01-20 17:36:57.958,0,0,1577,837,36.15027218475237,50,16.8115234375,136.7,1414.3671875
2026-01-20 17:36:58.016,0,0,1577,837,36.245803747605535,50,16.8115234375,121.5,1415.015625
2026-01-20 17:36:58.075,0,0,1610,879,36.182455397759625,50,16.8115234375,118.1,1414.32421875
2026-01-20 17:36:58.133,0,0,1680,930,36.190905702228704,50,16.8115234375,157.4,1414.25390625
2026-01-20 17:36:58.190,0,0,1680,930,36.29658582401153,50,16.8115234375,122.6,1418.3828125
2026-01-20 17:36:58.248,0,0,1700,971,36.276578047947226,50,16.8115234375,119.4,1414.8515625
2026-01-20 17:36:58.309,0,0,1612,869,36.168030318926476,50,16.8115234375,132.4,1414.8359375
2026-01-20 17:36:58.366,0,0,1588,862,36.06711746818129,50,16.8115234375,138.3,1414.6015625
2026-01-20 17:36:58.424,0,0,1588,862,36.05322838102022,50,16.8115234375,157.7,1417.94140625
2026-01-20 17:36:58.480,0,0,1733,1007,36.17131577063724,50,16.8115234375,124.0,1414.85546875
2026-01-20 17:36:58.536,0,0,1713,1011,36.36522116093233,50,16.8115234375,143.0,1414.484375
2026-01-20 17:36:58.593,0,0,1713,1011,36.54095865583624,50,16.8115234375,140.4,1414.98828125
2026-01-20 17:36:58.654,0,0,1750,1069,36.475665954425246,50,16.8115234375,147.0,1414.8125
2026-01-20 17:36:58.711,0,0,1750,1069,36.627967801628316,50,16.8115234375,122.7,1418.00390625
2026-01-20 17:36:58.768,0,0,1594,852,36.75695255477651,50,16.8115234375,122.4,1418.0546875
2026-01-20 17:36:58.827,0,0,1657,968,36.76100098834409,50,16.8115234375,119.7,1414.37109375
2026-01-20 17:36:58.885,0,0,1657,968,36.752003294647515,50,16.8115234375,138.5,1414.3671875
2026-01-20 17:36:58.943,0,0,1666,976,36.79244157554506,50,16.8115234375,153.8,1418.36328125
2026-01-20 17:36:59.002,0,0,1693,904,36.736423441990176,50,16.8115234375,135.6,1414.68359375
2026-01-20 17:36:59.061,0,0,1810,1147,36.657013168125566,50,16.8115234375,119.9,1414.90234375
2026-01-20 17:36:59.119,0,0,1810,1147,36.66794110241801,50,16.8115234375,137.0,1418.0703125
2026-01-20 17:36:59.175,0,0,1794,1103,36.833249272653134,50,16.8115234375,142.5,1414.5703125
2026-01-20 17:36:59.231,0,0,1794,1103,36.93427250304461,50,16.8115234375,142.2,1415.2265625
2026-01-20 17:36:59.289,0,0,1806,1088,36.88851429099123,50,16.8115234375,120.7,1414.4609375
2026-01-20 17:36:59.347,0,0,1692,963,36.825962089743825,57,16.8115234375,121.4,1415.01171875
2026-01-20 17:36:59.403,0,0,1692,963,36.85166332989308,57,16.8115234375,143.1,1415.01171875
2026-01-20 17:36:59.460,0,0,1724,978,36.86859417247696,57,16.8115234375,123.3,1414.34765625
2026-01-20 17:36:59.516,0,0,1772,1088,37.074601113041346,57,16.8115234375,141.1,1414.09375
2026-01-20 17:36:59.576,0,0,1772,1088,36.94415149116482,57,16.8115234375,151.6,1414.49609375
2026-01-20 17:36:59.632,0,0,1641,907,36.97651476793497,57,16.8115234375,124.2,1414.82421875
2026-01-20 17:36:59.689,0,0,1686,977,37.030608809479524,57,16.8115234375,122.4,1417.12109375
2026-01-20 17:36:59.746,0,0,1686,977,37.090108400085484,57,16.8115234375,124.0,1417.12109375
2026-01-20 17:36:59.804,0,0,1825,1136,37.112720464314854,57,16.8115234375,137.9,1413.8359375
2026-01-20 17:36:59.861,0,0,1792,1123,37.19653850724455,57,16.8115234375,157.3,1414.2734375
2026-01-20 17:36:59.920,0,0,1792,1123,37.212225024486955,57,16.8115234375,136.5,1414.76171875
2026-01-20 17:36:59.977,0,0,1632,905,37.269329434682845,57,16.8115234375,122.3,1414.9140625
2026-01-20 17:37:00.036,0,0,1706,1050,37.15383620544565,57,16.8115234375,135.7,1413.5546875
2026-01-20 17:37:00.091,0,0,1706,1050,37.200453397554796,57,16.8115234375,126.5,1417.7109375
2026-01-20 17:37:00.149,0,0,1775,1093,37.214481186636526,57,16.8115234375,121.5,1414.984375
2026-01-20 17:37:00.206,0,0,1757,1075,37.2351515546073,57,16.8115234375,139.5,1414.328125
2026-01-20 17:37:00.262,0,0,1757,1075,37.22236339255684,57,16.8115234375,142.6,1414.109375
2026-01-20 17:37:00.320,0,0,1780,1114,37.16325127412689,57,16.8115234375,120.7,1414.65625
